SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
PleosPC15_2|PleosPC15_2_1098464	PleosPC15_2|PleosPC15_2_1100952	0.080681	0.079307	1.017335	1413.114230	464.885770	1.158662	0.241023	1929
PleosPC15_2|PleosPC15_2_1080063	PleosPC15_2|PleosPC15_2_1081596	0.000000	0.000000	99.000000	1218.907298	452.092702	4.600000	0.000000	1671
PleosPC15_2|PleosPC15_2_1032028	PleosPC15_2|PleosPC15_2_1045587	0.000000	0.000000	99.000000	936.054242	410.945758	4.600000	0.000000	1347
PleosPC15_2|PleosPC15_2_1080065	PleosPC15_2|PleosPC15_2_1110075	0.371506	0.877159	0.423534	1288.724182	412.275818	1.260975	1.482187	4476
PleosPC15_2|PleosPC15_2_1098468	PleosPC15_2|PleosPC15_2_1105171	0.026360	0.098553	0.267474	154.961821	55.038179	4.600000	0.135844	210
PleosPC15_2|PleosPC15_2_153847	PleosPC15_2|PleosPC15_2_163449	0.222745	0.355691	0.626231	369.214166	113.785834	1.777086	0.762193	3546
PleosPC15_2|PleosPC15_2_1098472	PleosPC15_2|PleosPC15_2_163905	0.150641	0.228726	0.658609	1563.758341	617.241659	2.690089	0.518220	4641
PleosPC15_2|PleosPC15_2_1031339	PleosPC15_2|PleosPC15_2_1074543	0.065611	0.644334	0.101828	338.325956	138.674044	2.522663	0.701576	543
PleosPC15_2|PleosPC15_2_1110163	PleosPC15_2|PleosPC15_2_22560	0.069037	0.771130	0.089527	220.850121	100.149879	7.972313	0.864255	321
PleosPC15_2|PleosPC15_2_19514	PleosPC15_2|PleosPC15_2_1095839	0.380133	4.345670	0.087474	1012.601812	328.398188	1.435439	4.053766	1794
PleosPC15_2|PleosPC15_2_1098479	PleosPC15_2|PleosPC15_2_1100180	0.257728	4.143996	0.062193	820.031486	250.968514	2.278789	3.505204	1443
PleosPC15_2|PleosPC15_2_17401	PleosPC15_2|PleosPC15_2_166490	0.729099	4.100451	0.177809	795.187623	236.812377	1.170902	4.508162	2997
PleosPC15_2|PleosPC15_2_1018781	PleosPC15_2|PleosPC15_2_1041417	0.132378	2.334430	0.056707	1217.121506	432.878494	2.336100	2.130264	2082
PleosPC15_2|PleosPC15_2_1098482	PleosPC15_2|PleosPC15_2_1098497	0.042471	0.131204	0.323705	1866.196105	701.803895	2.930166	0.200163	2574
PleosPC15_2|PleosPC15_2_1080075	PleosPC15_2|PleosPC15_2_1073060	0.001986	0.105700	0.018784	504.400075	122.599925	2.201761	0.066796	627
PleosPC15_2|PleosPC15_2_1110166	PleosPC15_2|PleosPC15_2_162983	0.751600	2.194734	0.342456	995.460086	306.539914	1.423639	3.274104	1710
PleosPC15_2|PleosPC15_2_1098487	PleosPC15_2|PleosPC15_2_53202	0.290507	3.495031	0.083120	1021.789470	292.210530	1.205668	3.009411	1659
