SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Mgui|PGUG_03947	Mgui|PGUG_05186	0.064432	0.320130	0.201268	1119.861429	398.138571	2.971870	0.394488	1542
Mgui|PGUG_03950	Mgui|PGUG_01541	0.743996	4.273777	0.174084	988.619453	298.380547	1.382535	4.687042	1485
Mgui|PGUG_03951	Mgui|PGUG_03945	0.013326	0.202611	0.065770	1236.775772	335.224228	1.482890	0.161070	1686
Mgui|PGUG_03952	Mgui|PGUG_03944	0.004363	0.099027	0.044058	920.012202	252.987798	2.450432	0.074339	1290
Mgui|PGUG_03953	Mgui|PGUG_03943	0.018624	0.111314	0.167309	979.353390	355.646610	3.494875	0.129950	1551
Mgui|PGUG_03954	Mgui|PGUG_05673	0.329218	0.657098	0.501018	1514.587655	525.412345	2.252289	1.240994	2331
Mgui|PGUG_03955	Mgui|PGUG_01513	0.695493	1.982284	0.350854	984.329235	293.670765	1.390058	2.973552	1464
Mgui|PGUG_03956	Mgui|PGUG_03942	0.221520	0.354297	0.625239	767.173042	264.826958	1.903610	0.766779	1773
Mgui|PGUG_03957	Mgui|PGUG_03959	0.484724	1.833976	0.264302	864.279370	278.720630	1.637976	2.441218	1200
Mgui|PGUG_03962	Mgui|PGUG_04558	0.709453	2.241705	0.316479	825.780618	269.219382	1.446061	3.258528	1512
Mgui|PGUG_03972	Mgui|PGUG_04526	1.026307	4.360285	0.235376	937.139687	334.860313	1.280788	5.711980	1491
Mgui|PGUG_03975	Mgui|PGUG_01576	0.819529	1.950373	0.420191	909.934805	344.065195	1.975665	3.389411	1485
Mgui|PGUG_03976	Mgui|PGUG_03977	0.508984	4.674132	0.108894	1819.138275	508.861725	1.355277	4.258246	2589
Mgui|PGUG_03981	Mgui|PGUG_04742	0.547920	2.027482	0.270247	918.617745	284.382255	1.772894	2.693041	1425
Mgui|PGUG_03997	Mgui|PGUG_02449	0.167468	1.722496	0.097224	697.652766	202.347234	1.031610	1.551257	930
Mgui|PGUG_03998	Mgui|PGUG_03999	0.568600	3.728110	0.152517	449.855853	144.144147	1.859621	4.005926	720
Mgui|PGUG_04001	Mgui|PGUG_04215	0.069201	0.966810	0.071577	1184.186290	378.813710	1.535261	0.860245	1563
Mgui|PGUG_04002	Mgui|PGUG_04513	0.541902	2.269552	0.238771	1364.588941	441.411059	1.290935	2.892490	1962
Mgui|PGUG_04003	Mgui|PGUG_05018	0.388735	4.440772	0.087538	1247.204889	372.795111	1.575895	3.963575	1737
Mgui|PGUG_04004	Mgui|PGUG_05123	0.861393	1.745006	0.493633	741.062233	242.937767	1.140940	3.238639	1125
Mgui|PGUG_04005	Mgui|PGUG_01238	0.492410	4.412574	0.111592	1131.960706	359.039294	1.758173	4.309207	1557
Mgui|PGUG_04006	Mgui|PGUG_03688	0.224089	2.038971	0.109903	1293.778502	398.221498	1.358390	1.953694	1710
Mgui|PGUG_04009	Mgui|PGUG_02736	0.170042	2.623712	0.064810	642.700460	218.299540	2.156464	2.376449	861
Mgui|PGUG_04016	Mgui|PGUG_05289	0.554090	4.106387	0.134934	916.305894	238.694106	1.060022	3.864640	1284
Mgui|PGUG_04018	Mgui|PGUG_02879	0.555267	3.418505	0.162430	345.606828	95.393172	0.787607	3.523851	663
Mgui|PGUG_04031	Mgui|PGUG_01305	0.681902	3.576272	0.190674	1037.456278	312.543722	1.150325	4.055965	2586
Mgui|PGUG_04035	Mgui|PGUG_01795	0.696612	1.703896	0.408835	1946.462617	621.537383	1.524143	2.821220	2754
Mgui|PGUG_04036	Mgui|PGUG_01792	0.527005	3.961345	0.133037	661.277587	196.722413	1.376160	3.943293	1011
Mgui|PGUG_04051	Mgui|PGUG_02406	0.628593	4.503471	0.139580	1304.699880	405.300120	1.269779	4.641021	1872
Mgui|PGUG_04055	Mgui|PGUG_05900	0.505310	3.809847	0.132633	1099.490566	385.509434	1.479345	4.089527	1542
Mgui|PGUG_04057	Mgui|PGUG_04740	0.362073	1.465908	0.246996	218.758098	93.241902	1.088355	2.075870	321
Mgui|PGUG_04059	Mgui|PGUG_04952	0.737808	2.577622	0.286236	877.947868	271.052132	1.377484	3.515476	1419
Mgui|PGUG_04066	Mgui|PGUG_03420	0.829641	4.976539	0.166711	2571.427757	761.572243	1.154275	5.331554	4188
Mgui|PGUG_04072	Mgui|PGUG_03564	0.647939	2.803585	0.231111	561.424645	173.575355	1.161375	3.471030	948
Mgui|PGUG_04075	Mgui|PGUG_03370	0.265926	0.246472	1.078928	378.057727	140.942273	2.260210	0.781928	558
Mgui|PGUG_04079	Mgui|PGUG_01820	0.567184	1.725781	0.328653	563.342969	159.657031	0.962378	2.469095	831
