SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Melbi2|Melbi2_648186	Melbi2|Melbi2_560827	0.195452	1.222160	0.159923	595.983266	223.016734	2.032619	1.425084	921
Melbi2|Melbi2_709555	Melbi2|Melbi2_622343	0.476935	4.875065	0.097832	2058.800897	665.199103	1.245409	4.652867	2853
Melbi2|Melbi2_648188	Melbi2|Melbi2_540715	0.756341	1.968767	0.384170	1043.208072	366.791928	1.424380	3.215210	1569
Melbi2|Melbi2_637565	Melbi2|Melbi2_183047	0.663941	1.456751	0.455768	301.742777	127.257223	1.859525	2.697353	1428
Melbi2|Melbi2_621524	Melbi2|Melbi2_654440	0.932686	2.149941	0.433819	815.091269	267.908731	1.671564	3.701418	1350
Melbi2|Melbi2_474571	Melbi2|Melbi2_519307	0.735623	3.603199	0.204158	663.679957	215.320043	1.229292	4.314195	936
Melbi2|Melbi2_637569	Melbi2|Melbi2_223736	0.658537	2.462761	0.267398	838.826924	286.173076	1.416774	3.352464	1467
Melbi2|Melbi2_547972	Melbi2|Melbi2_600940	0.536701	4.125118	0.130106	796.269444	244.730556	1.103622	4.140926	1542
Melbi2|Melbi2_603247	Melbi2|Melbi2_631717	1.007249	2.147936	0.468938	1204.999364	448.000636	1.398934	3.949204	1836
Melbi2|Melbi2_621531	Melbi2|Melbi2_670986	0.677631	2.738991	0.247402	1554.791796	479.208204	1.207523	3.489855	2319
Melbi2|Melbi2_657284	Melbi2|Melbi2_125506	0.658614	2.332032	0.282421	1131.571990	410.428010	1.432896	3.312063	1917
Melbi2|Melbi2_657285	Melbi2|Melbi2_587236	0.491125	2.304370	0.213128	1259.762903	420.237097	1.325680	2.834077	1767
Melbi2|Melbi2_709594	Melbi2|Melbi2_306507	0.696036	4.383247	0.158795	1007.729115	345.270885	1.310642	4.910916	1509
Melbi2|Melbi2_547546	Melbi2|Melbi2_561070	0.730499	3.055742	0.239058	610.736473	214.263527	1.277667	4.003187	885
Melbi2|Melbi2_648196	Melbi2|Melbi2_531878	0.345632	2.272569	0.152089	1130.506860	357.493140	1.534674	2.425740	1596
Melbi2|Melbi2_648197	Melbi2|Melbi2_615020	0.652905	2.807848	0.232529	1012.615352	379.384648	1.953621	3.720680	1608
Melbi2|Melbi2_603264	Melbi2|Melbi2_523069	0.676176	2.006295	0.337027	850.938204	304.061796	1.431867	3.079017	1506
Melbi2|Melbi2_669975	Melbi2|Melbi2_600651	0.786887	2.250639	0.349628	768.321314	281.678686	1.557074	3.538682	1296
Melbi2|Melbi2_657290	Melbi2|Melbi2_652859	0.469342	1.703259	0.275555	1677.890621	686.109379	2.055190	2.482395	2727
Melbi2|Melbi2_621542	Melbi2|Melbi2_625902	0.769795	4.034654	0.190796	728.077720	216.922280	1.372677	4.557705	1557
Melbi2|Melbi2_575516	Melbi2|Melbi2_627670	0.655597	3.623511	0.180929	402.620065	125.379935	1.562260	4.081092	3414
Melbi2|Melbi2_546578	Melbi2|Melbi2_114820	0.290317	2.122995	0.136749	1124.423467	435.576533	1.676595	2.406089	1791
Melbi2|Melbi2_621547	Melbi2|Melbi2_614854	0.139301	0.093741	1.486033	129.451853	68.548147	2.273745	0.370584	231
Melbi2|Melbi2_621548	Melbi2|Melbi2_608668	0.459203	5.946572	0.077221	1137.536096	362.463904	1.653742	5.355556	1827
Melbi2|Melbi2_575528	Melbi2|Melbi2_619014	0.436602	1.708757	0.255509	769.329365	277.670635	1.207935	2.321956	1080
Melbi2|Melbi2_259523	Melbi2|Melbi2_490115	0.112006	1.508972	0.074227	813.650338	275.349662	2.092861	1.395670	1713
Melbi2|Melbi2_709662	Melbi2|Melbi2_564390	0.708059	2.797373	0.253116	1010.747889	339.252111	1.194195	3.699298	1575
Melbi2|Melbi2_546729	Melbi2|Melbi2_517869	0.714460	3.779654	0.189028	1725.933626	542.066374	1.246864	4.341183	2595
Melbi2|Melbi2_648210	Melbi2|Melbi2_615814	0.860403	3.365709	0.255638	2222.954824	735.045176	1.431847	4.448870	3687
Melbi2|Melbi2_621561	Melbi2|Melbi2_578209	0.576522	4.125816	0.139735	787.041855	244.958145	1.252070	4.256973	2193
Melbi2|Melbi2_546740	Melbi2|Melbi2_525372	0.066827	0.257541	0.259483	125.123790	45.876210	4.600000	0.353977	171
Melbi2|Melbi2_503834	Melbi2|Melbi2_624532	0.499827	3.530077	0.141591	372.306006	110.693994	1.292848	3.582900	3153
Melbi2|Melbi2_260248	Melbi2|Melbi2_557332	0.643000	2.235798	0.287593	602.205642	201.794358	1.785135	3.128321	969
Melbi2|Melbi2_637616	Melbi2|Melbi2_549934	0.477632	3.851619	0.124008	586.052022	169.947978	1.537543	3.708302	1029
Melbi2|Melbi2_546545	Melbi2|Melbi2_536466	1.003710	1.401417	0.716211	679.557570	271.442430	2.472099	3.351680	1116
Melbi2|Melbi2_637625	Melbi2|Melbi2_557146	0.266665	4.670787	0.057092	1578.402827	506.597173	1.382652	4.010234	2154
Melbi2|Melbi2_261027	Melbi2|Melbi2_558885	0.661621	2.644970	0.250143	321.008135	113.991865	1.785709	3.544074	1596
Melbi2|Melbi2_547360	Melbi2|Melbi2_617489	0.794819	4.418706	0.179876	1168.013245	361.986755	1.193947	4.956612	1731
Melbi2|Melbi2_637632	Melbi2|Melbi2_579129	0.558950	1.845250	0.302913	1009.023506	337.976494	1.341531	2.645088	1410
Melbi2|Melbi2_709721	Melbi2|Melbi2_618371	0.677644	1.805010	0.375424	1018.485466	364.514534	1.433598	2.924345	1452
Melbi2|Melbi2_670015	Melbi2|Melbi2_580125	0.335358	2.031751	0.165059	414.371126	137.628874	2.018148	2.274947	1794
Melbi2|Melbi2_637640	Melbi2|Melbi2_652857	0.471572	4.300500	0.109655	998.796241	309.203759	1.116416	4.130126	1596
Melbi2|Melbi2_621610	Melbi2|Melbi2_657230	0.505117	4.153979	0.121598	828.668408	254.331592	1.052143	4.086047	1182
Melbi2|Melbi2_657322	Melbi2|Melbi2_715606	0.533520	4.721810	0.112991	1704.739690	542.260310	1.123463	4.632794	3012
Melbi2|Melbi2_637647	Melbi2|Melbi2_557356	0.519539	2.216310	0.234416	1027.530898	367.469102	1.798532	2.899501	2052
Melbi2|Melbi2_621618	Melbi2|Melbi2_618373	0.661013	2.073724	0.318757	796.228904	262.771096	1.358310	3.034654	1167
Melbi2|Melbi2_657327	Melbi2|Melbi2_552845	0.689479	3.913033	0.176201	655.550090	184.449910	1.142641	4.191952	1056
Melbi2|Melbi2_621624	Melbi2|Melbi2_592132	0.794052	4.865162	0.163212	2052.526003	656.473997	1.287490	5.341822	3432
Melbi2|Melbi2_657333	Melbi2|Melbi2_537888	0.257973	4.064903	0.063463	713.149942	225.850058	1.550349	3.520868	1047
Melbi2|Melbi2_648256	Melbi2|Melbi2_611824	0.676291	2.377936	0.284403	1876.945972	610.054028	1.410735	3.281099	3015
Melbi2|Melbi2_709844	Melbi2|Melbi2_582005	0.725843	2.265294	0.320419	531.538170	173.461830	1.429761	3.313853	789
