SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Schco3|Schco3_2605861	Schco3|Schco3_1266479	0.531519	3.742778	0.142012	699.009057	146.990943	1.623388	3.268408	969
Schco3|Schco3_2605841	Schco3|Schco3_2556492	0.831427	3.488464	0.238336	931.171560	307.828440	1.391517	4.474697	3339
Schco3|Schco3_2605834	Schco3|Schco3_2581835	0.754526	3.146115	0.239828	531.708319	137.291681	1.209434	3.735979	744
Schco3|Schco3_2661480	Schco3|Schco3_2533836	0.703644	3.655470	0.192491	1060.229719	289.770281	1.299065	4.011713	1425
Schco3|Schco3_2605811	Schco3|Schco3_2684536	0.420380	4.203933	0.099997	850.151804	271.848196	1.682095	4.011279	1287
Schco3|Schco3_2605803	Schco3|Schco3_2623758	0.818058	2.972977	0.275164	515.992081	135.007919	1.537700	3.794870	945
Schco3|Schco3_2674668	Schco3|Schco3_2632876	0.801130	4.599462	0.174179	1822.360354	460.639646	1.274145	4.702553	2619
Schco3|Schco3_1168688	Schco3|Schco3_2627988	0.563735	4.251628	0.132593	1237.302393	289.697607	1.103252	3.790171	1716
Schco3|Schco3_2605763	Schco3|Schco3_2672428	0.598513	3.302964	0.181205	371.226569	81.773431	0.980208	3.260125	519
Schco3|Schco3_2483428	Schco3|Schco3_2485374	0.234088	2.870495	0.081550	194.060431	45.939569	1.258991	2.216208	246
Schco3|Schco3_1065770	Schco3|Schco3_1151738	0.444068	3.223917	0.137742	322.406599	73.593401	1.079502	2.882041	2250
Schco3|Schco3_2605724	Schco3|Schco3_2611168	0.045023	0.754029	0.059710	298.864537	67.135463	3.894084	0.525229	366
Schco3|Schco3_2695151	Schco3|Schco3_2605670	0.163236	0.877256	0.186075	142.065602	40.934398	7.675362	0.968854	189
Schco3|Schco3_2605699	Schco3|Schco3_2753773	0.187281	1.651767	0.113382	1543.116111	376.883889	1.696666	1.424250	1950
Schco3|Schco3_2482969	Schco3|Schco3_2609462	0.717555	99.000000	0.007248	740.036523	150.963477	1.185298	52.109095	1902
Schco3|Schco3_2485893	Schco3|Schco3_2566326	0.557249	3.938684	0.141481	754.132777	190.867223	1.396735	3.720652	1107
Schco3|Schco3_2661442	Schco3|Schco3_2490027	0.845779	4.316572	0.195938	1388.098937	315.901063	1.378180	4.467667	2184
