SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Smus|SEPMUDRAFT_121779	Smus|SEPMUDRAFT_121751	0.053852	0.045834	1.174948	203.705118	102.294882	12.849042	0.153515	1194
Smus|SEPMUDRAFT_146901	Smus|SEPMUDRAFT_150899	0.578371	1.769274	0.326897	749.449058	231.550942	1.366268	2.578398	1131
Smus|SEPMUDRAFT_146902	Smus|SEPMUDRAFT_150164	0.559697	2.321664	0.241076	1168.247605	340.752395	1.308885	2.872718	1980
Smus|SEPMUDRAFT_146906	Smus|SEPMUDRAFT_87137	0.744325	4.026219	0.184869	778.503713	214.496287	0.999119	4.359724	1587
Smus|SEPMUDRAFT_59080	Smus|SEPMUDRAFT_163294	0.887888	1.897094	0.468025	729.653417	287.346583	1.805451	3.519096	1158
Smus|SEPMUDRAFT_114008	Smus|SEPMUDRAFT_63669	0.658044	4.340675	0.151599	1287.781706	326.218294	1.194169	4.207109	1848
Smus|SEPMUDRAFT_153830	Smus|SEPMUDRAFT_67051	0.990052	2.100884	0.471255	1390.094224	475.905776	1.478023	3.820078	2226
Smus|SEPMUDRAFT_146909	Smus|SEPMUDRAFT_49956	0.661534	2.451640	0.269833	1034.171503	348.828497	1.518354	3.339136	1578
Smus|SEPMUDRAFT_161183	Smus|SEPMUDRAFT_149792	0.759520	4.393442	0.172876	1136.294163	363.705837	1.246621	4.921918	1908
Smus|SEPMUDRAFT_146916	Smus|SEPMUDRAFT_163560	0.732204	3.207115	0.228306	1062.436065	353.563935	1.411578	4.050509	2193
Smus|SEPMUDRAFT_146917	Smus|SEPMUDRAFT_76117	0.499664	3.102564	0.161049	1744.099435	598.900565	1.351544	3.494995	2820
Smus|SEPMUDRAFT_138683	Smus|SEPMUDRAFT_82189	0.601813	3.921602	0.153461	473.081422	129.918578	1.159599	3.951220	726
Smus|SEPMUDRAFT_36483	Smus|SEPMUDRAFT_149424	0.480626	2.123184	0.226370	1203.623206	398.376794	1.712785	2.667265	1629
Smus|SEPMUDRAFT_146930	Smus|SEPMUDRAFT_150901	0.830991	4.202268	0.197748	1066.754523	271.245477	0.729019	4.543295	1830
Smus|SEPMUDRAFT_146931	Smus|SEPMUDRAFT_146932	0.687752	5.206161	0.132104	3816.629826	1034.370174	1.228534	4.953614	6003
Smus|SEPMUDRAFT_146933	Smus|SEPMUDRAFT_144134	0.573043	3.777496	0.151699	653.044879	153.955121	0.727425	3.553114	1062
Smus|SEPMUDRAFT_146934	Smus|SEPMUDRAFT_150636	0.812451	5.015825	0.161978	2734.472138	802.527862	1.176097	5.298528	4584
Smus|SEPMUDRAFT_79037	Smus|SEPMUDRAFT_68214	0.692857	4.453650	0.155571	1165.748192	379.251808	1.446767	4.848062	2178
Smus|SEPMUDRAFT_146945	Smus|SEPMUDRAFT_151733	0.969493	2.478438	0.391171	1405.201853	487.798147	1.146677	4.074977	2715
Smus|SEPMUDRAFT_59206	Smus|SEPMUDRAFT_68578	0.680910	4.306525	0.158111	984.302364	311.697636	1.510533	4.658693	1734
Smus|SEPMUDRAFT_39272	Smus|SEPMUDRAFT_40960	0.854968	1.812187	0.471788	549.481453	197.518547	1.556315	3.324215	930
Smus|SEPMUDRAFT_59220	Smus|SEPMUDRAFT_150237	0.914218	3.857078	0.237024	1000.202003	307.797997	1.144497	4.820192	1560
Smus|SEPMUDRAFT_146954	Smus|SEPMUDRAFT_35324	0.736083	2.969611	0.247872	1318.218163	448.781837	1.354335	3.910061	1875
Smus|SEPMUDRAFT_161231	Smus|SEPMUDRAFT_152358	0.710258	2.529885	0.280747	1391.115584	456.884416	1.294881	3.480382	2565
Smus|SEPMUDRAFT_38325	Smus|SEPMUDRAFT_145545	0.628698	4.341346	0.144816	1008.489816	326.510184	1.211635	4.610177	1596
Smus|SEPMUDRAFT_146966	Smus|SEPMUDRAFT_149430	0.577671	2.124213	0.271946	1124.089276	375.910724	1.418155	2.895738	1626
Smus|SEPMUDRAFT_146967	Smus|SEPMUDRAFT_162316	0.486049	1.953283	0.248837	815.436512	270.563488	1.455867	2.554778	1170
Smus|SEPMUDRAFT_146969	Smus|SEPMUDRAFT_112438	0.633268	4.015837	0.157693	727.452554	211.547446	1.184379	4.185982	1101
Smus|SEPMUDRAFT_59266	Smus|SEPMUDRAFT_147437	0.836269	1.899317	0.440300	570.255787	182.744213	1.373304	3.282775	858
Smus|SEPMUDRAFT_146975	Smus|SEPMUDRAFT_59891	0.866493	1.889527	0.458577	1724.388065	519.611935	2.358970	3.310148	2844
Smus|SEPMUDRAFT_146990	Smus|SEPMUDRAFT_49060	0.442994	1.797413	0.246462	729.391601	227.608399	1.486287	2.295369	1071
Smus|SEPMUDRAFT_130763	Smus|SEPMUDRAFT_55107	0.696016	3.672467	0.189523	439.162911	133.837089	1.330261	4.173701	909
Smus|SEPMUDRAFT_146993	Smus|SEPMUDRAFT_117096	0.801979	3.625516	0.221204	748.667197	265.332803	0.968652	4.622437	1101
Smus|SEPMUDRAFT_161276	Smus|SEPMUDRAFT_94547	0.745083	3.394302	0.219510	1175.213500	390.786500	1.435569	4.218543	2250
