SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Antav1|Antav1_306539	Antav1|Antav1_356331	0.870233	4.598230	0.189254	1574.116493	459.883507	1.130908	5.139378	3957
Antav1|Antav1_419727	Antav1|Antav1_486510	0.198262	3.229122	0.061398	252.894040	74.105960	1.715304	2.655380	327
Antav1|Antav1_447088	Antav1|Antav1_472477	0.643879	3.063915	0.210149	2813.306507	972.693493	1.355801	3.796892	4245
Antav1|Antav1_457399	Antav1|Antav1_521062	0.565407	2.607444	0.216844	659.894420	201.105580	1.818494	3.127111	1101
Antav1|Antav1_419716	Antav1|Antav1_336826	0.556713	1.937091	0.287397	486.955497	152.044503	1.768646	2.655486	723
Antav1|Antav1_432982	Antav1|Antav1_449386	0.446628	3.338896	0.133765	286.213529	85.786471	1.498985	3.340832	987
Antav1|Antav1_468578	Antav1|Antav1_344928	0.418061	4.126906	0.101301	804.685564	245.314436	1.353796	3.853707	1071
Antav1|Antav1_333334	Antav1|Antav1_348692	0.568769	2.312449	0.245959	717.793546	242.206454	1.700467	3.026089	1089
Antav1|Antav1_324100	Antav1|Antav1_404879	0.643797	2.672494	0.240898	1235.116791	387.883209	1.399709	3.385916	2172
Antav1|Antav1_432976	Antav1|Antav1_304689	0.929648	2.094367	0.443880	796.666593	259.333407	1.456385	3.647042	1722
Antav1|Antav1_334023	Antav1|Antav1_516236	0.880702	1.908477	0.461469	751.126563	265.873437	1.181128	3.448178	1134
Antav1|Antav1_515730	Antav1|Antav1_349990	0.686299	4.204058	0.163247	886.106620	271.893380	1.207575	4.536760	1251
Antav1|Antav1_432971	Antav1|Antav1_437843	0.644180	1.720854	0.374337	1046.666686	327.333314	1.821814	2.702040	1605
Antav1|Antav1_364912	Antav1|Antav1_342146	0.787836	4.501507	0.175016	1320.759852	404.240148	1.204352	4.974316	2106
Antav1|Antav1_419695	Antav1|Antav1_489056	0.595265	2.163986	0.275078	476.424786	153.575214	1.175140	2.933017	666
Antav1|Antav1_323603	Antav1|Antav1_327238	0.465177	4.005539	0.116134	694.337371	208.662629	1.491536	3.849822	1140
Antav1|Antav1_477689	Antav1|Antav1_347491	0.771455	1.744094	0.442324	699.307282	269.692718	2.027452	3.126482	1158
Antav1|Antav1_392633	Antav1|Antav1_520161	0.720870	2.044320	0.352621	645.355618	245.644382	1.977756	3.257215	897
Antav1|Antav1_515712	Antav1|Antav1_517786	0.715422	4.795724	0.149179	604.338033	196.661967	1.753705	5.151660	819
Antav1|Antav1_419689	Antav1|Antav1_340146	0.937638	2.105018	0.445430	1068.065178	353.934822	1.463614	3.684594	1533
Antav1|Antav1_392629	Antav1|Antav1_446246	0.097575	1.072630	0.090968	398.900142	150.099858	3.223657	1.092483	552
Antav1|Antav1_432950	Antav1|Antav1_506844	0.330689	3.982908	0.083027	703.539739	202.460261	1.415490	3.440507	1317
Antav1|Antav1_477666	Antav1|Antav1_332076	0.445615	3.897954	0.114320	1134.980848	365.019152	1.100035	3.857184	1671
Antav1|Antav1_8732	Antav1|Antav1_477195	0.419654	4.738822	0.088557	1905.298808	554.701192	1.264942	4.180727	3339
Antav1|Antav1_515684	Antav1|Antav1_413190	0.642044	2.683504	0.239256	470.205222	147.794778	1.112349	3.390777	702
Antav1|Antav1_468537	Antav1|Antav1_266748	0.347717	3.757580	0.092538	828.079213	149.920787	1.221486	2.611279	1155
Antav1|Antav1_457336	Antav1|Antav1_450698	0.730753	3.600293	0.202970	457.442045	121.557955	1.003136	3.999594	618
Antav1|Antav1_419639	Antav1|Antav1_159854	0.640131	2.360676	0.271164	729.990751	233.009249	1.350065	3.169312	1173
Antav1|Antav1_392539	Antav1|Antav1_417551	0.820952	4.556525	0.180171	1322.991166	435.008834	1.338472	5.235906	2106
Antav1|Antav1_419632	Antav1|Antav1_358273	0.842089	2.065118	0.407768	1032.464689	341.535311	1.572783	3.438293	1560
Antav1|Antav1_419630	Antav1|Antav1_474249	0.918358	4.174413	0.219997	938.644023	261.355977	1.011822	4.882547	1632
Antav1|Antav1_432909	Antav1|Antav1_452357	0.746530	4.146764	0.180027	819.103446	251.896554	0.972613	4.638770	1332
Antav1|Antav1_468521	Antav1|Antav1_437191	0.658965	3.247406	0.202920	326.065267	75.934733	1.926470	3.443704	591
Antav1|Antav1_333852	Antav1|Antav1_453814	0.438934	1.619586	0.271016	290.492258	105.507742	2.006343	2.260499	1134
Antav1|Antav1_432902	Antav1|Antav1_522449	0.275544	2.324105	0.118559	1251.225408	482.774592	1.941997	2.537693	1785
Antav1|Antav1_457320	Antav1|Antav1_429055	0.703580	4.428795	0.158865	1166.110625	366.889375	1.290840	4.785383	1953
Antav1|Antav1_477627	Antav1|Antav1_333586	0.877818	4.196696	0.209169	795.762407	269.237593	0.996973	5.150542	1299
Antav1|Antav1_332894	Antav1|Antav1_469050	0.433940	3.195492	0.135797	831.015191	242.984809	1.251898	3.176164	1149
Antav1|Antav1_432894	Antav1|Antav1_346389	0.682896	1.902957	0.358860	1130.356469	429.643531	1.834783	3.056747	1590
Antav1|Antav1_515651	Antav1|Antav1_505753	0.305853	4.266910	0.071680	940.339242	295.660758	1.316514	3.760105	1329
Antav1|Antav1_392495	Antav1|Antav1_437831	0.302364	0.835352	0.361960	1749.457956	674.542044	2.886683	1.352045	2556
Antav1|Antav1_419618	Antav1|Antav1_462919	0.605964	4.440797	0.136454	1421.192448	372.807552	1.321134	4.208618	2109
Antav1|Antav1_419617	Antav1|Antav1_92601	0.727688	4.076707	0.178499	748.567288	229.432712	1.308404	4.540042	1083
Antav1|Antav1_334970	Antav1|Antav1_457906	0.602368	4.175012	0.144279	824.435075	261.564925	1.005486	4.388535	1236
Antav1|Antav1_447000	Antav1|Antav1_414944	0.473521	4.062567	0.116557	731.852427	225.147573	1.686467	3.953683	1035
