SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Nbac|BN123_NABA0s01e00748g1_1	Nbac|BN123_NABA0s23e01001g1_1	0.545774	4.307564	0.126701	1037.870203	312.129797	1.179142	4.246582	1506
Nbac|BN123_NABA0s01e00253g1_1	Nbac|BN123_NABA0s25e05786g1_1	0.559782	3.130860	0.178795	235.198024	73.801976	1.563337	3.521585	411
Nbac|BN123_NABA0s01e00638g1_1	Nbac|BN123_NABA0s25e00858g1_1	0.285336	1.520864	0.187614	675.287844	236.712156	2.675261	1.818062	1209
Nbac|BN123_NABA0s01e00308g1_1	Nbac|BN123_NABA0s23e01342g1_1	0.560906	1.976134	0.283840	336.624226	104.375774	1.079875	2.687585	657
Nbac|BN123_NABA0s01e01694t1_1	Nbac|BN123_NABA0s26e01727t1_1	0.091778	0.081073	1.132045	198.893937	104.106063	7.401321	0.264300	339
Nbac|BN123_NABA0s01e00814g1_1	Nbac|BN123_NABA0s03e02530g1_1	0.896330	2.346506	0.381985	1128.072606	269.927394	1.522852	3.528994	1629
Nbac|BN123_NABA0s01e01595g1_1	Nbac|BN123_NABA0s23e02970g1_1	0.523123	4.453113	0.117474	1460.019826	378.980174	1.560656	3.999041	2007
Nbac|BN123_NABA0s01e00957g1_1	Nbac|BN123_NABA0s34e03102g1_1	0.798607	4.096837	0.194933	703.326019	235.673981	1.582951	4.879230	1086
Nbac|BN123_NABA0s01e01056g1_1	Nbac|BN123_NABA0s03e00649g1_1	0.407254	4.057398	0.100373	1102.398776	223.601224	0.923312	3.068317	1776
Nbac|BN123_NABA0s01e00517g1_1	Nbac|BN123_NABA0s29e05357g1_1	0.104296	1.252191	0.083291	1287.162125	311.837875	1.036014	0.984478	1683
Nbac|BN123_NABA0s01e01320r1_1	Nbac|BN123_NABA0s15e02640r1_1	0.000000	0.000000	99.000000	40.625455	22.374545	4.600000	0.000000	69
Nbac|BN123_NABA0s01e00924g1_1	Nbac|BN123_NABA0s32e01573g1_1	0.301661	4.767574	0.063274	2231.621141	576.378859	1.576005	3.655045	3219
Nbac|BN123_NABA0s01e00132g1_1	Nbac|BN123_NABA0s29e00132g1_1	0.699311	4.604088	0.151889	1897.510473	463.489527	1.324327	4.397582	2748
Nbac|BN123_NABA0s01e01309g1_1	Nbac|BN123_NABA0s03e04191g1_1	0.900698	4.290143	0.209946	982.036881	304.963119	1.668129	5.111547	1893
Nbac|BN123_NABA0s01e01573g1_1	Nbac|BN123_NABA0s29e06292g1_1	0.623821	4.311609	0.144684	997.182544	313.817456	1.391332	4.519729	1419
Nbac|BN123_NABA0s01e01364g1_1	Nbac|BN123_NABA0s15e00440g1_1	0.618605	4.579876	0.135070	1729.234297	448.765703	1.514570	4.304415	2925
Nbac|BN123_NABA0s01e00935g1_1	Nbac|BN123_NABA0s29e04829g1_1	0.739753	4.808324	0.153848	2595.438339	608.561661	1.311102	4.537589	3837
Nbac|BN123_NABA0s01e01331t1_1	Nbac|BN123_NABA0s29e03465t1_1	0.127659	0.105978	1.204578	190.434154	58.565846	2.455317	0.367679	333
Nbac|BN123_NABA0s01e01606g1_1	Nbac|BN123_NABA0s32e00880g1_1	0.694434	3.179375	0.218418	1031.626353	249.373647	1.599962	3.534540	1818
Nbac|BN123_NABA0s01e00242g1_1	Nbac|BN123_NABA0s26e00341g1_1	0.347561	4.482273	0.077541	1738.995041	394.004959	1.053393	3.333959	2484
Nbac|BN123_NABA0s01e00143g1_1	Nbac|BN123_NABA0s34e01859g1_1	0.690224	4.010964	0.172084	848.822635	210.177365	1.434316	4.047851	1506
Nbac|BN123_NABA0s01e01584g1_1	Nbac|BN123_NABA0s32e01199g1_1	0.473494	3.624260	0.130646	486.494894	125.505106	1.364149	3.358900	672
