SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Tilan2|Tilan2_218892	Tilan2|Tilan2_268531	0.623321	4.229285	0.147382	1206.805406	281.194594	1.252342	3.914272	1662
Tilan2|Tilan2_252926	Tilan2|Tilan2_269452	0.632386	3.322973	0.190307	372.015630	83.984370	1.698954	3.383784	687
Tilan2|Tilan2_260525	Tilan2|Tilan2_46999	0.812467	4.514790	0.179957	1472.536664	411.463336	1.178312	4.863150	3495
Tilan2|Tilan2_252955	Tilan2|Tilan2_226645	0.751840	4.351489	0.172778	1127.043820	330.956180	1.296300	4.706809	1917
Tilan2|Tilan2_1105	Tilan2|Tilan2_254242	0.660168	4.245425	0.155501	1152.688763	287.311237	0.773171	4.126512	2331
Tilan2|Tilan2_241792	Tilan2|Tilan2_249885	0.595479	3.812365	0.156197	654.718264	161.281736	0.960104	3.693881	1245
Tilan2|Tilan2_241812	Tilan2|Tilan2_154357	0.760991	4.482516	0.169769	1375.867366	394.132634	1.381920	4.769030	2301
Tilan2|Tilan2_260559	Tilan2|Tilan2_259359	0.476572	4.144060	0.115001	844.009871	250.990129	1.822975	3.951642	1140
Tilan2|Tilan2_253007	Tilan2|Tilan2_265702	0.421741	2.773817	0.152044	429.697025	152.302975	0.991103	3.111760	645
Tilan2|Tilan2_218810	Tilan2|Tilan2_268946	0.825286	4.373380	0.188707	1501.241761	340.758239	1.126839	4.444983	2964
Tilan2|Tilan2_241868	Tilan2|Tilan2_181056	0.869688	4.494078	0.193519	1942.744126	400.255874	1.645348	4.466533	2652
Tilan2|Tilan2_265724	Tilan2|Tilan2_191109	0.875902	2.358459	0.371387	1942.144733	607.855267	1.338939	3.687918	3570
Tilan2|Tilan2_3530	Tilan2|Tilan2_258107	0.593480	4.003447	0.148242	790.918732	208.081268	0.935092	3.911220	1431
Tilan2|Tilan2_241902	Tilan2|Tilan2_5975	0.532093	4.348487	0.122363	1296.366209	329.633791	1.559881	3.917335	1755
Tilan2|Tilan2_218788	Tilan2|Tilan2_254250	0.599894	3.718093	0.161345	574.768342	142.231658	1.434675	3.655358	843
Tilan2|Tilan2_277164	Tilan2|Tilan2_293715	0.407050	3.574000	0.113892	455.629702	117.370298	1.285743	3.167255	702
Tilan2|Tilan2_241914	Tilan2|Tilan2_261969	0.598969	4.132005	0.144958	1115.011894	246.988106	0.897192	3.718974	2280
Tilan2|Tilan2_253060	Tilan2|Tilan2_260171	0.327281	99.000000	0.003306	518.282808	75.717192	1.309964	38.715284	705
Tilan2|Tilan2_253063	Tilan2|Tilan2_258916	0.655923	4.133604	0.158681	955.484769	247.515231	1.148103	4.114349	3861
Tilan2|Tilan2_4214	Tilan2|Tilan2_222880	0.674883	3.820101	0.176666	590.046001	162.953999	1.193493	4.066584	825
Tilan2|Tilan2_253087	Tilan2|Tilan2_226748	0.925862	1.952480	0.474198	999.255522	314.744478	1.195709	3.515308	1518
Tilan2|Tilan2_292344	Tilan2|Tilan2_222090	0.824034	5.123472	0.160835	818.344353	195.655647	2.098180	4.960887	1176
Tilan2|Tilan2_277188	Tilan2|Tilan2_222356	0.588391	4.156479	0.141560	1067.819118	255.180882	1.273155	3.829818	1785
Tilan2|Tilan2_241980	Tilan2|Tilan2_254253	0.772954	2.487306	0.310760	766.677231	226.322769	1.247031	3.491058	1179
Tilan2|Tilan2_271645	Tilan2|Tilan2_274956	0.699171	4.893117	0.142889	2606.595488	681.404512	1.146780	4.704970	5322
Tilan2|Tilan2_265787	Tilan2|Tilan2_254427	0.868504	3.825311	0.227041	642.910107	164.089893	0.897908	4.409164	1995
Tilan2|Tilan2_289583	Tilan2|Tilan2_235911	0.535668	4.569821	0.117219	1621.210185	442.789815	1.547418	4.203344	2433
Tilan2|Tilan2_277199	Tilan2|Tilan2_233264	0.684488	3.941458	0.173664	786.425427	191.574573	1.389343	3.967428	2028
Tilan2|Tilan2_253133	Tilan2|Tilan2_222513	0.623272	4.078730	0.152810	801.947569	230.052431	1.397684	4.180678	1218
Tilan2|Tilan2_69817	Tilan2|Tilan2_73378	0.655967	4.163589	0.157548	1008.388715	257.611285	1.020037	4.109141	1545
Tilan2|Tilan2_253147	Tilan2|Tilan2_218909	0.798489	4.241618	0.188251	863.143357	285.856643	1.228703	4.965287	1644
Tilan2|Tilan2_242069	Tilan2|Tilan2_259988	0.424267	4.004954	0.105936	763.499947	208.500053	1.435285	3.577040	1797
Tilan2|Tilan2_70237	Tilan2|Tilan2_253657	0.715606	3.806825	0.187980	670.905120	160.094880	1.460146	3.933419	1167
Tilan2|Tilan2_219035	Tilan2|Tilan2_256733	0.768190	4.712550	0.163009	2017.393185	535.606815	1.385080	4.787093	3366
Tilan2|Tilan2_218955	Tilan2|Tilan2_251005	0.620703	4.085703	0.151921	889.798702	232.201298	1.418091	4.013386	1917
Tilan2|Tilan2_260699	Tilan2|Tilan2_267672	0.631889	3.851732	0.164053	667.026584	169.973416	1.064402	3.857271	1008
Tilan2|Tilan2_230760	Tilan2|Tilan2_257513	0.561370	3.654104	0.153627	508.399986	130.600014	1.172479	3.580408	696
Tilan2|Tilan2_219178	Tilan2|Tilan2_110574	0.831726	4.313461	0.192821	1272.406699	314.593301	1.122348	4.565745	1893
Tilan2|Tilan2_242150	Tilan2|Tilan2_279838	0.750881	4.245591	0.176861	1218.624808	287.375192	1.593446	4.253226	1860
Tilan2|Tilan2_253205	Tilan2|Tilan2_256539	0.254760	4.062010	0.062718	963.019592	224.980408	1.677106	2.927303	1218
Tilan2|Tilan2_253224	Tilan2|Tilan2_260082	0.314287	3.766138	0.083451	757.358718	151.641282	0.989524	2.670397	924
Tilan2|Tilan2_265899	Tilan2|Tilan2_260747	0.602957	4.331656	0.139198	1327.681113	322.318887	1.074742	3.994016	2223
Tilan2|Tilan2_230837	Tilan2|Tilan2_276311	0.776461	4.726543	0.164277	2082.306229	545.693771	1.078395	4.790039	3738
Tilan2|Tilan2_253440	Tilan2|Tilan2_256614	0.692484	4.301287	0.160994	1220.471571	309.528429	1.179780	4.267701	1815
Tilan2|Tilan2_253444	Tilan2|Tilan2_116310	0.714856	4.671745	0.153017	1766.755593	507.244407	1.145519	4.792471	4566
Tilan2|Tilan2_115321	Tilan2|Tilan2_245407	0.605340	4.212931	0.143686	1197.870564	275.129436	1.448256	3.837517	1608
Tilan2|Tilan2_253454	Tilan2|Tilan2_260404	0.799421	4.257751	0.187757	1276.927847	292.072153	1.554606	4.329586	1758
Tilan2|Tilan2_219559	Tilan2|Tilan2_235315	0.811535	4.370042	0.185704	1037.754894	339.245106	1.160328	5.064684	2157
Tilan2|Tilan2_116354	Tilan2|Tilan2_269305	0.823380	5.176564	0.159059	3526.654534	994.345466	1.443145	5.342449	6375
Tilan2|Tilan2_231220	Tilan2|Tilan2_291034	0.636165	4.618758	0.137735	1999.355435	472.644565	1.324073	4.192901	3072
Tilan2|Tilan2_289733	Tilan2|Tilan2_221384	0.532945	4.624270	0.115250	1773.868578	476.131422	1.208861	4.196180	2841
Tilan2|Tilan2_271977	Tilan2|Tilan2_253950	0.940009	4.193631	0.224152	976.860371	268.139629	1.228584	4.922255	1551
Tilan2|Tilan2_231246	Tilan2|Tilan2_29621	0.478407	4.131286	0.115801	998.248737	246.751263	1.320933	3.607154	1317
Tilan2|Tilan2_231258	Tilan2|Tilan2_219350	0.513255	4.379834	0.117186	1951.296764	343.703236	1.470116	3.276963	2919
Tilan2|Tilan2_253527	Tilan2|Tilan2_224632	0.850990	4.228967	0.201229	2982.644585	974.355415	1.573176	5.048307	5223
Tilan2|Tilan2_231283	Tilan2|Tilan2_224818	0.917167	3.961399	0.231526	730.263367	196.736633	1.075635	4.689728	1245
Tilan2|Tilan2_242678	Tilan2|Tilan2_244224	0.286640	4.291773	0.066788	1560.373328	305.626672	1.215391	2.827888	2151
Tilan2|Tilan2_212823	Tilan2|Tilan2_260308	0.373895	3.742444	0.099907	672.074534	146.925466	1.257020	2.934599	1236
Tilan2|Tilan2_219435	Tilan2|Tilan2_291268	0.517290	3.950424	0.130946	778.121308	193.878692	1.808045	3.606228	1518
Tilan2|Tilan2_253574	Tilan2|Tilan2_253942	0.945853	4.747626	0.199226	1937.749239	561.250761	1.336575	5.399081	3777
Tilan2|Tilan2_148070	Tilan2|Tilan2_247240	0.789580	4.270434	0.184895	1139.946443	297.053557	1.046401	4.527405	1605
Tilan2|Tilan2_242965	Tilan2|Tilan2_294728	0.493752	4.213250	0.117190	969.753564	275.246436	0.960623	3.948193	1338
Tilan2|Tilan2_231608	Tilan2|Tilan2_253424	0.630235	3.975577	0.158527	903.508891	200.491109	1.551113	3.713291	1221
Tilan2|Tilan2_292779	Tilan2|Tilan2_254184	0.718420	3.817434	0.188194	641.624525	162.375475	1.082690	4.032886	936
Tilan2|Tilan2_206938	Tilan2|Tilan2_210406	0.200925	2.726318	0.073698	157.094708	37.905292	1.595786	2.075479	243
Tilan2|Tilan2_242979	Tilan2|Tilan2_219951	0.405984	3.818015	0.106334	665.498495	162.501505	1.201930	3.226865	978
Tilan2|Tilan2_266325	Tilan2|Tilan2_255637	1.009791	2.425493	0.416324	2758.866446	838.133554	1.316787	4.018987	5196
Tilan2|Tilan2_231658	Tilan2|Tilan2_258011	0.923393	4.173936	0.221228	788.809876	261.190124	1.365390	5.195923	1218
Tilan2|Tilan2_231767	Tilan2|Tilan2_265754	0.968290	2.740037	0.353386	1235.017433	423.982567	1.607357	4.263262	2214
Tilan2|Tilan2_151064	Tilan2|Tilan2_272251	0.512848	3.930922	0.130465	597.097771	188.902229	1.126923	4.002978	804
Tilan2|Tilan2_266172	Tilan2|Tilan2_255205	0.005084	0.092216	0.055127	197.377729	57.622271	4.600000	0.074319	345
Tilan2|Tilan2_253595	Tilan2|Tilan2_176	0.950235	4.223055	0.225011	3072.617051	974.382949	1.123908	5.214663	5277
Tilan2|Tilan2_253598	Tilan2|Tilan2_258288	0.431734	4.312228	0.100119	1293.923149	314.076851	1.043373	3.569034	1722
Tilan2|Tilan2_219671	Tilan2|Tilan2_256213	0.590038	4.824506	0.122300	2363.165319	621.834681	1.367804	4.416484	3405
Tilan2|Tilan2_253655	Tilan2|Tilan2_295380	0.667757	4.473283	0.149277	1359.689597	389.310403	1.544156	4.544489	2478
Tilan2|Tilan2_253672	Tilan2|Tilan2_220726	0.674722	4.189279	0.161059	876.411593	266.588407	0.850727	4.483328	1683
Tilan2|Tilan2_231447	Tilan2|Tilan2_267631	0.847655	2.680445	0.316237	1865.688034	510.311966	1.373719	3.723893	2793
Tilan2|Tilan2_253702	Tilan2|Tilan2_257349	0.667727	4.233977	0.157707	1160.040712	282.959288	1.251415	4.101109	1731
Tilan2|Tilan2_277424	Tilan2|Tilan2_191474	0.513393	4.548625	0.112868	1744.549198	430.450802	1.193825	3.935997	3840
Tilan2|Tilan2_253713	Tilan2|Tilan2_254409	0.754325	4.188817	0.180081	981.575799	266.424201	0.940604	4.462570	1323
Tilan2|Tilan2_253732	Tilan2|Tilan2_259911	0.720433	4.121911	0.174781	842.313805	243.686195	1.458311	4.451059	1335
Tilan2|Tilan2_219796	Tilan2|Tilan2_47700	0.931811	3.173231	0.293647	2355.337159	770.662841	1.526070	4.453186	3852
