SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Aciri1_iso|Aciri1_iso_148659	Aciri1_iso|Aciri1_iso_105047	0.726878	2.586796	0.280995	1355.020917	390.979083	1.353860	3.430100	1914
Aciri1_iso|Aciri1_iso_148655	Aciri1_iso|Aciri1_iso_400648	0.533069	3.942180	0.135222	666.240773	191.759227	1.656558	3.884972	1344
Aciri1_iso|Aciri1_iso_78	Aciri1_iso|Aciri1_iso_180771	0.632928	3.836799	0.164963	568.377259	166.622741	1.101097	4.077715	1068
Aciri1_iso|Aciri1_iso_148636	Aciri1_iso|Aciri1_iso_154062	0.940848	3.924368	0.239745	568.741256	187.258744	1.048702	5.039570	1059
Aciri1_iso|Aciri1_iso_138934	Aciri1_iso|Aciri1_iso_131538	0.682189	3.780154	0.180466	544.498320	154.501680	1.041998	4.100820	870
Aciri1_iso|Aciri1_iso_138959	Aciri1_iso|Aciri1_iso_135873	0.664380	4.275740	0.155384	1083.837679	299.162321	1.096997	4.336704	1629
Aciri1_iso|Aciri1_iso_179611	Aciri1_iso|Aciri1_iso_7908	0.923302	5.143737	0.179500	2849.237280	951.762720	1.113238	5.940272	4620
Aciri1_iso|Aciri1_iso_56731	Aciri1_iso|Aciri1_iso_6141	0.920324	1.697904	0.542035	1496.081186	552.918814	1.234092	3.390458	2589
Aciri1_iso|Aciri1_iso_56823	Aciri1_iso|Aciri1_iso_170681	0.366370	4.898036	0.074799	2101.111464	685.888536	1.457825	4.444878	2940
Aciri1_iso|Aciri1_iso_98730	Aciri1_iso|Aciri1_iso_149184	0.430627	2.550093	0.168867	1192.673380	439.326620	1.324815	3.003532	1791
Aciri1_iso|Aciri1_iso_130242	Aciri1_iso|Aciri1_iso_159244	0.786991	4.720739	0.166709	2059.513375	541.486625	1.422507	4.817803	2976
Aciri1_iso|Aciri1_iso_79934	Aciri1_iso|Aciri1_iso_57311	0.832750	3.261978	0.255290	504.165618	167.834382	1.222668	4.318375	846
Aciri1_iso|Aciri1_iso_130246	Aciri1_iso|Aciri1_iso_169975	0.492157	3.395523	0.144943	318.485595	92.514405	0.825469	3.437079	1269
Aciri1_iso|Aciri1_iso_56793	Aciri1_iso|Aciri1_iso_3245	0.684930	4.562787	0.150112	1367.343586	438.656414	1.226587	4.880450	2193
Aciri1_iso|Aciri1_iso_98752	Aciri1_iso|Aciri1_iso_6850	0.524949	3.582666	0.146525	1331.361111	471.638889	1.189084	3.974411	1887
Aciri1_iso|Aciri1_iso_116	Aciri1_iso|Aciri1_iso_69546	0.623735	2.983428	0.209067	918.956005	299.043995	1.455585	3.609265	1308
Aciri1_iso|Aciri1_iso_20489	Aciri1_iso|Aciri1_iso_44799	1.093653	2.051734	0.533038	1701.242303	626.757697	1.601887	4.054779	2790
Aciri1_iso|Aciri1_iso_56892	Aciri1_iso|Aciri1_iso_157739	0.642188	4.096461	0.156767	952.444230	235.555770	1.274608	3.981297	1362
Aciri1_iso|Aciri1_iso_148739	Aciri1_iso|Aciri1_iso_75376	0.829569	2.381085	0.348400	553.373854	208.626146	1.252992	3.763065	954
Aciri1_iso|Aciri1_iso_148740	Aciri1_iso|Aciri1_iso_28921	0.460975	2.699423	0.170768	752.669121	219.330879	1.108463	2.898237	1131
Aciri1_iso|Aciri1_iso_151	Aciri1_iso|Aciri1_iso_538656	0.817973	3.105209	0.263420	1025.869415	342.130585	1.333177	4.170001	1662
