SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Rhoba1_1|Rhoba1_1_65975	Rhoba1_1|Rhoba1_1_52378	0.446397	4.077340	0.109483	1138.373605	229.626395	1.290857	3.167614	1572
Rhoba1_1|Rhoba1_1_10656	Rhoba1_1|Rhoba1_1_66103	0.626457	3.569397	0.175508	762.347943	116.652057	1.078832	3.051044	2124
Rhoba1_1|Rhoba1_1_40611	Rhoba1_1|Rhoba1_1_42609	0.036653	0.493402	0.074286	630.699931	50.300069	2.342947	0.211167	771
Rhoba1_1|Rhoba1_1_40613	Rhoba1_1|Rhoba1_1_15291	0.515490	99.000000	0.005207	1140.168337	140.831663	1.200002	34.028290	1560
Rhoba1_1|Rhoba1_1_50599	Rhoba1_1|Rhoba1_1_56067	0.463637	4.108221	0.112856	1485.721396	239.278604	1.129840	2.907557	1986
Rhoba1_1|Rhoba1_1_40621	Rhoba1_1|Rhoba1_1_38096	0.646091	99.000000	0.006526	840.295748	104.704252	1.464797	34.630568	1284
Rhoba1_1|Rhoba1_1_11271	Rhoba1_1|Rhoba1_1_55787	0.496773	4.309227	0.115281	3047.177447	312.822553	1.283262	2.555160	5295
Rhoba1_1|Rhoba1_1_50608	Rhoba1_1|Rhoba1_1_40629	0.495916	2.091688	0.237089	1254.955817	314.044183	1.423451	2.445957	1887
Rhoba1_1|Rhoba1_1_40632	Rhoba1_1|Rhoba1_1_40649	0.427858	3.294535	0.129869	621.140473	80.859527	1.381372	2.274163	1179
Rhoba1_1|Rhoba1_1_32683	Rhoba1_1|Rhoba1_1_36663	0.463008	4.068224	0.113811	1405.147750	226.852250	1.160072	2.892427	1722
Rhoba1_1|Rhoba1_1_50625	Rhoba1_1|Rhoba1_1_65168	0.511645	99.000000	0.005168	1907.019030	165.980970	0.876954	25.192232	2481
Rhoba1_1|Rhoba1_1_10490	Rhoba1_1|Rhoba1_1_64530	0.104877	1.824812	0.057473	1179.049590	116.950410	1.064074	0.780249	1467
Rhoba1_1|Rhoba1_1_32702	Rhoba1_1|Rhoba1_1_47428	0.544621	3.543477	0.153697	739.310577	112.689423	2.186644	2.823791	957
Rhoba1_1|Rhoba1_1_50641	Rhoba1_1|Rhoba1_1_51119	0.434799	4.132739	0.105208	1774.770069	247.229931	1.328657	2.660838	2265
Rhoba1_1|Rhoba1_1_11214	Rhoba1_1|Rhoba1_1_11550	0.514395	3.061305	0.168031	450.751555	59.248445	1.129142	2.430835	771
Rhoba1_1|Rhoba1_1_40688	Rhoba1_1|Rhoba1_1_44517	0.715455	3.699022	0.193417	935.339340	138.660660	1.351721	3.301960	1437
Rhoba1_1|Rhoba1_1_23052	Rhoba1_1|Rhoba1_1_53035	0.526492	4.044484	0.130175	1619.216018	219.783982	1.681367	2.840810	2592
Rhoba1_1|Rhoba1_1_50674	Rhoba1_1|Rhoba1_1_27029	0.639484	4.276412	0.149538	1986.569241	299.430759	1.312049	3.347597	3885
