SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Catan1|Catan1_46784	Catan1|Catan1_51811	0.058615	0.089012	0.658509	411.585370	194.414630	9.169034	0.205102	1419
Catan1|Catan1_46785	Catan1|Catan1_53088	0.059999	0.235574	0.254691	612.325470	314.674530	10.423310	0.358796	1611
Catan1|Catan1_46786	Catan1|Catan1_58354	0.030526	0.053564	0.569893	503.984301	255.015699	10.790306	0.114798	1623
Catan1|Catan1_46788	Catan1|Catan1_56600	0.091275	0.255203	0.357658	656.263103	318.736897	5.936414	0.434595	1419
Catan1|Catan1_46789	Catan1|Catan1_134674	0.520448	5.590781	0.093090	1023.263979	311.736021	0.969941	5.113265	1938
Catan1|Catan1_108530	Catan1|Catan1_47242	0.300090	1.904127	0.157600	180.132556	65.867444	2.262943	2.188732	1758
Catan1|Catan1_33347	Catan1|Catan1_23449	0.690535	3.375330	0.204583	416.943195	90.056805	0.676851	3.502281	636
Catan1|Catan1_115559	Catan1|Catan1_37440	0.263240	1.381952	0.190485	844.095631	265.904369	1.411894	1.593695	1143
Catan1|Catan1_89020	Catan1|Catan1_115554	0.277876	1.176093	0.236270	724.159543	190.840457	1.661892	1.395648	1254
Catan1|Catan1_33352	Catan1|Catan1_132011	0.349892	2.855114	0.122549	170.992968	45.007032	0.557526	2.615684	684
Catan1|Catan1_59454	Catan1|Catan1_82491	0.593182	1.790443	0.331304	1024.530738	409.469262	1.549624	2.805155	1896
Catan1|Catan1_23095	Catan1|Catan1_38030	0.455653	2.566245	0.177556	338.650330	75.349670	1.188053	2.519369	438
Catan1|Catan1_59461	Catan1|Catan1_73228	0.221596	3.761223	0.058916	566.349194	150.650806	1.234197	2.895951	738
Catan1|Catan1_79949	Catan1|Catan1_66584	0.386936	4.206560	0.091984	297.282809	104.717191	0.981329	4.145736	2262
Catan1|Catan1_33372	Catan1|Catan1_34619	0.830216	4.128192	0.201109	1053.264317	245.735683	1.205103	4.362313	1566
Catan1|Catan1_33375	Catan1|Catan1_94466	0.834029	2.013114	0.414298	1443.737039	506.262961	1.454735	3.420435	2238
Catan1|Catan1_33378	Catan1|Catan1_46502	0.000000	0.007513	0.000010	478.072328	133.927672	4.600000	0.004933	612
Catan1|Catan1_115772	Catan1|Catan1_118047	0.602392	3.938155	0.152963	794.323141	192.676859	1.165326	3.760747	1365
Catan1|Catan1_109610	Catan1|Catan1_154869	0.441945	2.438176	0.181261	529.679360	193.320640	1.469548	2.927134	1275
Catan1|Catan1_46860	Catan1|Catan1_35612	0.655268	2.482034	0.264004	810.011871	245.988129	1.213127	3.242402	1221
Catan1|Catan1_115675	Catan1|Catan1_42228	0.378210	3.426490	0.110378	446.585751	96.414249	0.854973	2.758374	777
Catan1|Catan1_59506	Catan1|Catan1_31569	0.185814	2.812536	0.066066	338.425551	90.574449	1.244470	2.221175	1356
Catan1|Catan1_33425	Catan1|Catan1_164898	0.412428	2.132339	0.193416	943.925699	367.074301	1.914735	2.681988	1449
Catan1|Catan1_33438	Catan1|Catan1_119704	0.756029	1.805283	0.418787	573.255269	155.744731	1.817089	2.940581	819
Catan1|Catan1_46884	Catan1|Catan1_46083	0.000000	0.000000	99.000000	461.997537	252.002463	4.600000	0.000000	3810
Catan1|Catan1_69198	Catan1|Catan1_79380	0.329196	1.929116	0.170646	682.071514	196.928486	1.323725	2.062910	903
Catan1|Catan1_115706	Catan1|Catan1_58551	0.004706	0.029051	0.162003	852.626700	140.373300	0.957908	0.024443	1896
Catan1|Catan1_33451	Catan1|Catan1_36305	0.084990	0.176114	0.482588	612.345696	167.654304	2.625943	0.313730	801
Catan1|Catan1_163573	Catan1|Catan1_241042	0.000000	0.008369	0.000010	254.839686	120.160314	4.600000	0.008045	375
Catan1|Catan1_102507	Catan1|Catan1_132050	0.205373	1.594829	0.128774	519.626691	149.373309	1.594248	1.546826	2556
Catan1|Catan1_46895	Catan1|Catan1_47031	0.195086	0.917192	0.212699	1858.670760	571.329240	1.452761	1.094591	3924
Catan1|Catan1_115853	Catan1|Catan1_24555	0.617706	3.028919	0.203936	1725.706715	464.293285	1.711226	3.386693	2904
Catan1|Catan1_33463	Catan1|Catan1_37658	0.381258	3.422661	0.111392	396.076771	95.923229	1.480815	2.922685	537
Catan1|Catan1_33475	Catan1|Catan1_42467	0.491304	2.318130	0.211940	1315.016701	463.983299	1.541196	2.903282	3276
Catan1|Catan1_69231	Catan1|Catan1_286777	0.144230	2.039689	0.070712	1858.062294	406.937706	1.367857	1.454323	2301
Catan1|Catan1_80031	Catan1|Catan1_58359	0.509124	3.839763	0.132593	555.717462	167.282538	1.115211	3.839231	2610
Catan1|Catan1_101291	Catan1|Catan1_160807	0.778441	2.325053	0.334806	500.606770	144.393230	1.149098	3.374021	1695
Catan1|Catan1_46929	Catan1|Catan1_72003	0.515687	2.042407	0.252490	1427.085657	501.914343	1.549203	2.738792	2934
Catan1|Catan1_46932	Catan1|Catan1_23194	0.591995	1.801866	0.328546	526.844551	139.155449	1.002609	2.534364	861
Catan1|Catan1_23202	Catan1|Catan1_132048	0.522631	4.029550	0.129700	702.549178	215.450822	1.004303	4.037070	927
Catan1|Catan1_131923	Catan1|Catan1_116994	0.493601	2.519169	0.195938	1142.148126	324.851874	1.352197	2.826425	1803
Catan1|Catan1_131932	Catan1|Catan1_116162	0.763806	4.392113	0.173904	1180.623136	349.376864	1.057760	4.777000	2619
Catan1|Catan1_23205	Catan1|Catan1_79203	0.428170	1.353356	0.316376	714.676358	182.323642	1.232918	1.848667	1719
Catan1|Catan1_33517	Catan1|Catan1_89014	0.785014	3.850864	0.203854	1013.589049	258.410951	1.475285	4.223554	1590
Catan1|Catan1_33547	Catan1|Catan1_46973	0.558899	3.345405	0.167065	330.465743	86.534257	1.316554	3.411432	2073
Catan1|Catan1_33555	Catan1|Catan1_33557	0.703316	2.505064	0.280758	1416.562247	482.437753	1.668802	3.483141	2058
Catan1|Catan1_33567	Catan1|Catan1_115863	0.389897	1.549509	0.251626	1073.111987	405.888013	1.680429	2.124402	1692
Catan1|Catan1_33576	Catan1|Catan1_80101	0.312565	1.681546	0.185879	275.308719	96.691281	1.671583	2.005183	1170
Catan1|Catan1_115683	Catan1|Catan1_115708	0.312835	1.755954	0.178156	1129.259644	298.740356	1.372015	1.844214	1662
Catan1|Catan1_165586	Catan1|Catan1_159450	0.297373	2.702964	0.110018	871.684043	244.315957	1.485518	2.472024	1140
Catan1|Catan1_47018	Catan1|Catan1_33612	0.478216	1.708469	0.279909	319.540795	94.459205	0.793786	2.276739	639
Catan1|Catan1_146916	Catan1|Catan1_146955	0.009186	0.189357	0.048511	931.095400	235.904600	0.881471	0.136821	1167
Catan1|Catan1_33618	Catan1|Catan1_63138	0.880074	4.994221	0.176218	1759.175238	469.824762	1.390372	5.241740	2700
Catan1|Catan1_33622	Catan1|Catan1_23274	0.264886	0.947632	0.279524	439.817407	193.182593	2.151510	1.419751	1287
Catan1|Catan1_146932	Catan1|Catan1_136489	0.988830	5.871334	0.168417	8507.979071	2511.020929	1.213323	6.304380	14313
Catan1|Catan1_115812	Catan1|Catan1_52789	0.760220	2.581966	0.294435	1951.573664	541.426336	1.477584	3.467593	2940
Catan1|Catan1_33632	Catan1|Catan1_45634	0.946204	4.706094	0.201059	1775.984357	531.015643	0.999801	5.434920	2841
Catan1|Catan1_115820	Catan1|Catan1_58284	0.252483	0.457471	0.551911	1051.312793	316.687207	1.694675	0.899811	1971
Catan1|Catan1_23290	Catan1|Catan1_155886	0.407351	1.954552	0.208412	1060.165517	316.834483	1.218592	2.290042	1509
