SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Spun|SPPG_00002T0	Spun|SPPG_05711T0	0.712764	4.429046	0.160930	1111.988145	367.011855	1.443361	4.904863	1869
Spun|SPPG_00004T0	Spun|SPPG_00471T0	1.095345	1.744803	0.627775	1033.677632	424.322368	1.543734	3.853071	1827
Spun|SPPG_00013T0	Spun|SPPG_08336T0	0.191265	1.732056	0.110426	708.971736	224.028264	1.320199	1.683701	954
Spun|SPPG_00014T0	Spun|SPPG_08949T0	0.971180	2.390991	0.406183	1003.909054	370.090946	1.497918	4.060830	1851
Spun|SPPG_00017T0	Spun|SPPG_00017T1	0.000000	0.000000	99.000000	932.121140	390.878860	4.600000	0.000000	1563
Spun|SPPG_00024T0	Spun|SPPG_05597T0	0.681500	1.732383	0.393389	1077.320307	431.679693	1.933201	2.946378	1707
Spun|SPPG_00026T0	Spun|SPPG_06773T0	0.912928	4.126333	0.221244	858.872776	245.127224	0.972454	4.879254	1212
Spun|SPPG_00027T0	Spun|SPPG_00027T1	0.001608	0.001824	0.881577	1245.151945	548.848055	4.600000	0.005023	2319
Spun|SPPG_00029T0	Spun|SPPG_02399T0	0.755909	3.621817	0.208710	468.903069	125.096931	1.074080	4.078416	933
Spun|SPPG_00030T0	Spun|SPPG_07547T0	0.806791	4.320484	0.186736	1005.446688	317.553312	1.416379	4.950497	1734
Spun|SPPG_00035T0	Spun|SPPG_05839T0	0.577916	1.988883	0.290573	1258.805292	439.194708	1.309186	2.828604	1866
Spun|SPPG_00038T0	Spun|SPPG_02151T0	0.910996	1.941732	0.469167	757.389917	262.610083	1.460028	3.529111	1161
Spun|SPPG_00039T0	Spun|SPPG_00747T0	0.267370	3.258064	0.082064	273.978486	77.021514	1.332888	2.770893	459
Spun|SPPG_00041T0	Spun|SPPG_05468T0	0.642350	2.085262	0.308043	757.365948	307.634052	1.338394	3.177442	1176
Spun|SPPG_00043T0	Spun|SPPG_00043T1	0.000000	0.000000	99.000000	438.690895	182.309105	4.600000	0.000000	621
Spun|SPPG_00045T0	Spun|SPPG_07875T0	0.618191	3.598811	0.171776	379.682107	121.317893	1.302745	4.019858	552
Spun|SPPG_00051T0	Spun|SPPG_00975T0	0.492851	4.489418	0.109781	1192.223120	397.776880	1.312695	4.478067	4524
Spun|SPPG_00052T0	Spun|SPPG_01878T0	0.818028	3.847995	0.212585	1245.890760	413.109240	1.591807	4.717569	2109
Spun|SPPG_00055T0	Spun|SPPG_00067T0	0.922872	4.901318	0.188291	2083.104125	688.895875	1.369762	5.734779	3774
Spun|SPPG_00058T0	Spun|SPPG_01615T0	0.737427	4.906615	0.150292	2207.220637	693.779363	1.022004	5.203488	3510
Spun|SPPG_00059T0	Spun|SPPG_07852T0	0.935601	1.911874	0.489363	945.765837	344.234163	1.367955	3.588352	1671
Spun|SPPG_00063T0	Spun|SPPG_06292T0	0.991310	3.257495	0.304317	606.792464	221.207536	1.614024	4.790223	1023
Spun|SPPG_00071T0	Spun|SPPG_02839T0	0.372527	2.757317	0.135105	389.193783	132.806217	0.915177	2.937782	567
Spun|SPPG_00074T0	Spun|SPPG_04036T0	0.883242	3.566342	0.247660	868.320367	259.679633	1.249433	4.502774	1620
Spun|SPPG_00076T0	Spun|SPPG_03945T0	0.043098	1.495351	0.028821	251.155927	75.844073	0.896144	1.139796	336
