SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Marpt1|Marpt1_253717	Marpt1|Marpt1_328043	0.257072	1.949157	0.131889	556.454250	232.545750	2.977874	2.267365	1398
Marpt1|Marpt1_301516	Marpt1|Marpt1_130437	0.455848	2.572859	0.177176	523.929395	160.070605	1.286090	2.853821	984
Marpt1|Marpt1_253726	Marpt1|Marpt1_237275	0.074865	2.611922	0.028663	147.456970	32.543030	1.111587	1.600653	204
Marpt1|Marpt1_323717	Marpt1|Marpt1_75798	0.495049	2.851114	0.173633	650.728026	186.271974	1.989371	3.058153	897
Marpt1|Marpt1_252157	Marpt1|Marpt1_312137	0.225693	3.437887	0.065649	730.109488	97.890512	1.628416	1.816365	948
Marpt1|Marpt1_307908	Marpt1|Marpt1_317393	0.578498	4.083299	0.141674	1100.542073	231.457927	1.558314	3.562551	2979
Marpt1|Marpt1_253843	Marpt1|Marpt1_79634	0.588422	3.850486	0.152817	895.308562	169.691438	1.087718	3.324545	1227
Marpt1|Marpt1_132397	Marpt1|Marpt1_117684	0.573383	3.752426	0.152803	937.105955	148.894045	1.186113	3.027721	1272
Marpt1|Marpt1_282220	Marpt1|Marpt1_258730	0.129690	2.502847	0.051817	801.592606	158.407394	1.370204	1.563837	1005
Marpt1|Marpt1_295133	Marpt1|Marpt1_247533	0.668368	3.612802	0.185000	512.397647	123.602353	1.188537	3.721797	690
Marpt1|Marpt1_295139	Marpt1|Marpt1_73609	0.514398	99.000000	0.005196	380.258016	54.741984	1.064232	38.724553	510
Marpt1|Marpt1_315492	Marpt1|Marpt1_59184	0.263656	3.327012	0.079247	683.562177	84.437823	1.257121	1.801370	807
Marpt1|Marpt1_337056	Marpt1|Marpt1_299098	0.748816	4.769640	0.156996	2377.030909	577.969091	1.720421	4.605749	4284
Marpt1|Marpt1_133841	Marpt1|Marpt1_287273	0.592992	4.422097	0.134098	1235.372508	363.627492	1.427879	4.391299	1734
Marpt1|Marpt1_134386	Marpt1|Marpt1_238687	0.288713	3.284386	0.087905	367.227284	79.772716	1.227100	2.469984	468
