SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Conpu1|Conpu1_78661	Conpu1|Conpu1_137936	0.140896	0.595642	0.236545	1071.433121	374.566879	4.202546	0.776076	1539
Conpu1|Conpu1_86260	Conpu1|Conpu1_100667	0.273276	1.129096	0.242031	957.425452	410.574548	3.601893	1.590394	1527
Conpu1|Conpu1_148151	Conpu1|Conpu1_170138	0.388602	2.784683	0.139550	250.027085	40.972915	1.219503	2.177913	309
Conpu1|Conpu1_160955	Conpu1|Conpu1_155913	0.192184	0.802317	0.239537	730.217860	268.782140	3.755519	1.069024	999
Conpu1|Conpu1_44721	Conpu1|Conpu1_58921	0.244921	2.589662	0.094576	623.446191	210.553809	2.079950	2.510641	903
Conpu1|Conpu1_36992	Conpu1|Conpu1_133787	0.278174	2.453754	0.113367	199.551933	67.448067	1.886633	2.483272	468
Conpu1|Conpu1_148163	Conpu1|Conpu1_159152	0.024850	0.209609	0.118555	1145.795883	342.204117	2.925583	0.202021	1566
Conpu1|Conpu1_160960	Conpu1|Conpu1_148166	0.229704	4.192088	0.054795	286.935505	88.064495	4.136011	3.480675	405
Conpu1|Conpu1_94279	Conpu1|Conpu1_126596	0.205635	1.542126	0.133345	991.472117	331.527883	2.061048	1.621630	1524
Conpu1|Conpu1_68690	Conpu1|Conpu1_46021	0.292682	99.000000	0.002956	237.743209	41.256791	1.317994	44.666727	375
Conpu1|Conpu1_45497	Conpu1|Conpu1_94287	0.076072	1.248463	0.060933	214.488864	46.511136	1.715021	0.854989	396
Conpu1|Conpu1_114121	Conpu1|Conpu1_83169	0.870086	4.120298	0.211171	1055.837390	243.162610	0.946915	4.435501	1464
Conpu1|Conpu1_160965	Conpu1|Conpu1_125742	0.129425	0.936898	0.138142	567.587381	218.412619	3.025214	1.061413	1419
Conpu1|Conpu1_114133	Conpu1|Conpu1_150451	0.401734	2.152909	0.186601	1124.270377	369.729623	1.843716	2.505326	1536
Conpu1|Conpu1_160967	Conpu1|Conpu1_122306	0.072855	0.752543	0.096812	1255.560116	403.439884	3.871200	0.714429	1719
Conpu1|Conpu1_78669	Conpu1|Conpu1_148247	0.375276	1.755346	0.213790	1246.554759	385.445241	1.735213	2.103661	1686
Conpu1|Conpu1_46139	Conpu1|Conpu1_76368	0.315214	2.296598	0.137253	571.919462	175.080538	1.954891	2.338823	858
Conpu1|Conpu1_68701	Conpu1|Conpu1_162180	0.776311	2.015138	0.385240	796.028674	307.971326	1.757234	3.365681	1644
