SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Wich|J056_004097	Wich|J056_003001	0.000000	0.000000	99.000000	261.973658	107.026342	4.600000	0.000000	369
Wich|J056_004098	Wich|J056_002995	0.000000	0.000000	99.000000	193.162682	73.837318	4.600000	0.000000	267
Wich|J056_004099	Wich|J056_002996	0.000000	0.000000	99.000000	198.171277	86.828723	4.600000	0.000000	285
Wich|J056_001853	Wich|J056_003903	0.943405	1.837716	0.513357	1084.625915	361.374085	1.494007	3.500714	1698
Wich|J056_001855	Wich|J056_001909	0.375547	1.912533	0.196361	340.182394	142.817606	1.643369	2.490049	555
Wich|J056_001857	Wich|J056_001858	0.189762	1.093869	0.173478	664.427473	169.572527	1.117880	1.120766	1257
Wich|J056_001862	Wich|J056_001864	0.551390	4.468744	0.123388	1245.038270	386.961730	1.210781	4.440689	1998
Wich|J056_001870	Wich|J056_002783	0.000000	0.257895	0.000010	238.226394	70.773606	0.748690	0.177206	309
Wich|J056_001871	Wich|J056_004719	0.092019	0.778687	0.118173	289.032107	97.967893	1.177554	0.797542	414
Wich|J056_001873	Wich|J056_004020	0.594385	4.172286	0.142460	822.384043	260.615957	1.206146	4.366140	1818
Wich|J056_001874	Wich|J056_000119	0.911565	4.008855	0.227388	786.412739	209.587261	0.852457	4.689975	2094
Wich|J056_001875	Wich|J056_001135	0.674018	4.037812	0.166926	649.162563	217.837437	1.385682	4.557555	1668
Wich|J056_001878	Wich|J056_000215	0.733533	4.290275	0.170976	972.983419	305.016581	1.234098	4.747231	2673
Wich|J056_001887	Wich|J056_000156	0.489123	4.503849	0.108601	1301.495265	405.504735	1.012621	4.328511	1779
Wich|J056_001914	Wich|J056_002151	0.403331	3.632927	0.111021	464.036139	126.963861	0.843344	3.291424	615
Wich|J056_001922	Wich|J056_004017	0.331833	1.624419	0.204278	2299.528446	715.471554	1.512637	1.915707	3912
Wich|J056_001930	Wich|J056_000179	0.844588	2.619377	0.322439	1869.060548	596.939452	1.461989	3.822623	3069
Wich|J056_001933	Wich|J056_000377	0.771139	4.256002	0.181188	956.608136	291.391864	1.378472	4.754427	1482
Wich|J056_001935	Wich|J056_002814	0.753657	2.413696	0.312242	817.224442	274.775558	1.370667	3.514098	1248
Wich|J056_001945	Wich|J056_004511	0.607911	2.207199	0.275422	763.604999	220.395001	1.513278	2.898353	1506
Wich|J056_003189	Wich|J056_004528	0.557218	1.597513	0.348804	946.337214	277.662786	1.412582	2.379623	1377
Wich|J056_003191	Wich|J056_002022	0.825417	1.999682	0.412774	1624.034089	550.965911	1.216259	3.368638	2640
Wich|J056_003194	Wich|J056_001812	0.526442	4.162200	0.126482	933.865399	257.134601	1.037422	3.934186	1482
Wich|J056_003198	Wich|J056_003081	0.844577	4.716466	0.179070	1657.589413	538.410587	1.410371	5.381637	2832
Wich|J056_003203	Wich|J056_002918	0.943121	4.743835	0.198810	1709.578653	558.421347	1.498981	5.636770	4119
Wich|J056_003208	Wich|J056_001164	0.841236	1.798518	0.467738	1129.160196	358.839804	1.395083	3.216270	1737
Wich|J056_004368	Wich|J056_004370	0.026895	0.013028	2.064391	189.574424	77.425576	3.353339	0.068622	267
Wich|J056_001337	Wich|J056_001474	0.459937	1.367242	0.336398	772.819386	274.180614	1.901244	2.092607	1383
Wich|J056_001352	Wich|J056_003762	0.482984	4.056112	0.119076	782.991982	225.008018	1.419199	3.841757	1062
Wich|J056_001359	Wich|J056_004301	0.573330	2.300318	0.249239	591.846690	206.153310	1.687156	3.058426	1074
Wich|J056_001362	Wich|J056_002289	0.635099	3.735409	0.170021	502.446303	145.553697	0.949182	3.994471	1734
Wich|J056_001365	Wich|J056_003570	0.634123	3.522705	0.180010	613.513387	199.486613	1.660158	4.028693	858
Wich|J056_001368	Wich|J056_002036	0.852805	4.958026	0.172005	2334.995662	743.004338	1.193566	5.531316	4884
Wich|J056_001370	Wich|J056_000024	0.657068	2.693504	0.243945	684.794761	233.205239	1.561905	3.523190	1197
Wich|J056_001375	Wich|J056_002492	0.854501	4.274366	0.199913	880.385103	298.614897	1.238137	5.162035	1986
Wich|J056_001381	Wich|J056_000875	0.518111	3.382603	0.153169	1118.279673	378.720327	1.535716	3.728364	1689
Wich|J056_001388	Wich|J056_003417	0.465128	3.958868	0.117490	721.926402	196.073598	1.324557	3.634044	4077
Wich|J056_001392	Wich|J056_002790	0.904349	4.863136	0.185960	2504.297457	654.702543	1.011914	5.174423	5184
Wich|J056_001401	Wich|J056_003711	0.850169	3.083444	0.275720	1858.035207	580.964793	1.534960	4.146391	3150
Wich|J056_001402	Wich|J056_003790	0.513863	4.427890	0.116051	1250.553346	366.446654	1.307519	4.202595	1983
Wich|J056_001403	Wich|J056_004390	0.907290	2.725432	0.332898	939.031425	347.968575	1.193363	4.196594	1590
Wich|J056_001404	Wich|J056_000520	0.458940	4.147812	0.110646	944.751078	252.248922	1.061783	3.708934	1266
Wich|J056_001413	Wich|J056_003964	0.899363	4.721654	0.190476	1821.852012	542.147988	1.255430	5.327844	3015
Wich|J056_001414	Wich|J056_003502	0.286980	2.854902	0.100522	1815.998473	530.001527	1.089268	2.601352	2460
Wich|J056_001431	Wich|J056_000745	0.829923	1.452267	0.571467	1454.190952	447.809048	1.442742	2.929346	2346
