SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Tpha|TPHA_0D00095	Tpha|TPHA_0K02360	0.649517	1.349751	0.481213	566.579752	156.420248	2.326041	2.403036	1050
Tpha|TPHA_0D00120	Tpha|TPHA_0P00130	0.407215	2.030662	0.200533	1005.919590	251.080410	1.460548	2.194474	1287
Tpha|TPHA_0D00220	Tpha|TPHA_0P00170	0.786338	4.412483	0.178207	1501.004131	358.995869	1.334329	4.458644	2364
Tpha|TPHA_0D00250	Tpha|TPHA_0I01300	0.493065	4.068197	0.121200	892.155851	226.844149	1.106594	3.653453	1143
Tpha|TPHA_0D00270	Tpha|TPHA_0P00360	0.478859	3.266540	0.146595	476.296422	132.703578	1.341512	3.258919	654
Tpha|TPHA_0D00300	Tpha|TPHA_0I00180	0.554813	2.547332	0.217801	1035.853305	263.146695	1.208664	2.875350	1392
Tpha|TPHA_0D00340	Tpha|TPHA_0P00230	0.498931	4.535698	0.110001	1856.904488	423.095512	1.292274	3.744079	3186
Tpha|TPHA_0D00410	Tpha|TPHA_0P00240	0.075667	1.772085	0.042700	1116.859641	290.140359	1.890723	1.276467	1407
Tpha|TPHA_0D00440	Tpha|TPHA_0P00250	0.284166	4.119144	0.068987	852.211339	242.788661	1.337371	3.403427	1101
Tpha|TPHA_0D00520	Tpha|TPHA_0A01320	0.822922	1.788632	0.460085	1100.367730	303.632270	1.848712	3.095307	1590
Tpha|TPHA_0D00550	Tpha|TPHA_0G00630	0.709300	3.995260	0.177535	943.177793	205.822207	0.996266	3.893758	1488
Tpha|TPHA_0D00580	Tpha|TPHA_0P00330	0.388785	4.614074	0.084261	1411.298018	469.701982	1.957291	4.331630	2244
Tpha|TPHA_0D00590	Tpha|TPHA_0P00350	0.445337	5.304103	0.083961	4932.335961	1178.664039	1.652038	4.147427	6390
Tpha|TPHA_0D00610	Tpha|TPHA_0P00370	0.715485	4.272795	0.167451	1319.010017	297.989983	1.326092	4.113140	1839
Tpha|TPHA_0D00620	Tpha|TPHA_0H02400	0.888569	4.556514	0.195011	1967.997589	435.002411	1.636896	4.657674	3246
Tpha|TPHA_0D00630	Tpha|TPHA_0A04000	0.734268	4.756387	0.154375	2141.154273	567.845727	1.582781	4.732089	3369
Tpha|TPHA_0D00660	Tpha|TPHA_0H00560	0.892616	3.871528	0.230559	797.480367	174.519633	0.965193	4.282411	1197
Tpha|TPHA_0D00680	Tpha|TPHA_0M01230	0.702778	4.581295	0.153402	2127.384239	449.615761	1.294318	4.138417	3207
Tpha|TPHA_0D00700	Tpha|TPHA_0N00545	0.007424	0.006150	1.207142	1218.419874	326.580126	2.563279	0.021465	1854
Tpha|TPHA_0D00710	Tpha|TPHA_0P00470	0.029124	0.194620	0.149645	735.488450	182.511550	2.809484	0.186081	918
Tpha|TPHA_0D00740	Tpha|TPHA_0P00480	0.563338	4.590058	0.122730	2035.100087	454.899913	1.820318	3.896946	2640
Tpha|TPHA_0D00760	Tpha|TPHA_0P00530	0.345041	4.044306	0.085315	998.268220	219.731780	1.913950	3.037208	1350
Tpha|TPHA_0D00770	Tpha|TPHA_0N00940	0.748668	4.353595	0.171966	1399.113502	331.886498	1.213968	4.319534	2397
Tpha|TPHA_0D00850	Tpha|TPHA_0K01410	0.024536	0.059427	0.412877	1212.072865	242.927135	0.890300	0.091085	1854
Tpha|TPHA_0D00920	Tpha|TPHA_0K01140	0.662906	4.447273	0.149059	1789.959172	376.040828	1.268161	3.959739	2931
Tpha|TPHA_0D00940	Tpha|TPHA_0B02850	0.885691	1.933859	0.457991	1264.565534	364.434466	2.219740	3.360550	1965
Tpha|TPHA_0D00950	Tpha|TPHA_0N01530	0.608788	4.225543	0.144073	1178.204886	279.795114	0.694674	3.908566	3192
Tpha|TPHA_0D00960	Tpha|TPHA_0H00510	0.494486	4.928123	0.100340	3159.037091	713.962909	1.695490	3.935397	4542
Tpha|TPHA_0D00970	Tpha|TPHA_0A01550	0.301320	4.007069	0.075197	924.911229	209.088771	1.502806	2.953777	1248
Tpha|TPHA_0D01000	Tpha|TPHA_0I01240	0.505743	4.153951	0.121750	1194.678067	254.321933	0.905035	3.438180	1740
Tpha|TPHA_0D01040	Tpha|TPHA_0H00470	0.509253	4.500474	0.113155	1795.316102	403.683898	1.305833	3.725838	2631
Tpha|TPHA_0D01060	Tpha|TPHA_0H00290	0.822927	4.981829	0.165186	3163.036738	766.963262	1.475441	4.903685	5256
Tpha|TPHA_0D01080	Tpha|TPHA_0H00270	0.287679	3.659609	0.078609	465.437897	131.562103	1.626315	3.092275	615
Tpha|TPHA_0D01090	Tpha|TPHA_0M01790	0.598663	3.924293	0.152553	730.760034	187.239966	1.501187	3.830927	1053
Tpha|TPHA_0D01130	Tpha|TPHA_0G01740	0.481694	4.159775	0.115798	1018.695387	256.304613	1.549786	3.663221	1422
Tpha|TPHA_0D01140	Tpha|TPHA_0G01710	0.444208	4.399315	0.100972	1372.252382	352.747618	1.309805	3.758980	2556
Tpha|TPHA_0D01150	Tpha|TPHA_0G01670	0.325392	4.135784	0.078677	1071.764255	248.235745	1.094844	3.125894	1359
Tpha|TPHA_0D01180	Tpha|TPHA_0B03150	0.635259	3.491176	0.181961	596.901192	105.098808	0.737700	3.188485	2169
Tpha|TPHA_0D01230	Tpha|TPHA_0E01020	0.687383	3.181143	0.216081	1100.522212	249.477788	1.911356	3.444678	2541
Tpha|TPHA_0D01240	Tpha|TPHA_0D04650	0.743490	3.911035	0.190101	872.040906	183.959094	1.244900	3.885864	1284
Tpha|TPHA_0D01330	Tpha|TPHA_0F01490	0.858988	4.474939	0.191955	1724.828731	390.171269	1.521105	4.578157	2868
Tpha|TPHA_0D01380	Tpha|TPHA_0C04580	0.867530	4.795880	0.180891	2626.451730	598.548270	1.448258	4.789853	4572
Tpha|TPHA_0D01410	Tpha|TPHA_0G01460	0.539819	4.529404	0.119181	1956.440390	419.559610	1.660757	3.732927	2457
Tpha|TPHA_0D01450	Tpha|TPHA_0M01580	0.711449	1.478632	0.481153	339.151252	101.848748	1.683082	2.665888	483
Tpha|TPHA_0D01470	Tpha|TPHA_0F00440	0.515489	4.092995	0.125944	965.530292	234.469708	1.608015	3.643508	1374
Tpha|TPHA_0D01510	Tpha|TPHA_0L00940	0.640223	3.743959	0.171002	650.777405	147.222595	1.094982	3.638489	1056
Tpha|TPHA_0D01540	Tpha|TPHA_0C03380	0.580702	4.391226	0.132241	1652.036476	348.963524	1.264906	3.735709	2211
Tpha|TPHA_0D01560	Tpha|TPHA_0J02770	0.512637	2.772122	0.184926	829.985134	211.014866	1.156402	2.911932	1167
Tpha|TPHA_0D01630	Tpha|TPHA_0C03270	0.408542	4.302476	0.094955	1351.980642	310.019358	1.466419	3.404678	2055
Tpha|TPHA_0D01650	Tpha|TPHA_0D00320	0.781220	3.684640	0.212021	757.973075	136.026925	0.675611	3.668973	1155
Tpha|TPHA_0D01660	Tpha|TPHA_0B01750	0.593010	4.253963	0.139402	1218.399242	290.600758	1.438462	3.894091	2385
Tpha|TPHA_0D01680	Tpha|TPHA_0E02200	0.521657	2.540564	0.205331	2046.056334	530.943666	1.830549	2.812848	2676
Tpha|TPHA_0D01700	Tpha|TPHA_0E02150	0.371512	3.430143	0.108308	580.067528	154.932472	2.374504	3.048745	747
Tpha|TPHA_0D01720	Tpha|TPHA_0E02190	0.429165	3.816893	0.112438	692.741479	162.258521	1.671880	3.216223	909
Tpha|TPHA_0D01800	Tpha|TPHA_0N00180	0.802033	2.785932	0.287887	1280.448750	282.551250	1.321720	3.482017	1827
Tpha|TPHA_0D01820	Tpha|TPHA_0E01380	0.374534	4.782937	0.078306	2960.692730	588.307270	1.482933	3.315906	3969
Tpha|TPHA_0D01970	Tpha|TPHA_0E01200	0.013357	0.024981	0.534672	1284.265115	326.734885	1.245854	0.047143	1614
Tpha|TPHA_0D01990	Tpha|TPHA_0N00700	0.640021	4.265277	0.150054	1195.982050	295.017950	1.328462	4.072005	2268
Tpha|TPHA_0D02260	Tpha|TPHA_0G00490	0.915420	4.914761	0.186259	3660.644390	701.355610	1.160586	4.675394	5484
Tpha|TPHA_0D02360	Tpha|TPHA_0N01950	0.400489	4.303534	0.093060	1384.542872	310.457128	1.478777	3.346119	1815
Tpha|TPHA_0D02420	Tpha|TPHA_0K00470	0.443896	2.276511	0.194990	455.887809	171.112191	2.661626	2.832083	645
Tpha|TPHA_0D02430	Tpha|TPHA_0P01040	0.895910	4.624964	0.193712	2286.427896	476.572104	1.443076	4.617333	3315
Tpha|TPHA_0D02450	Tpha|TPHA_0K00440	0.590178	2.329715	0.253326	1181.176549	303.823451	1.678348	2.838235	1743
Tpha|TPHA_0D02470	Tpha|TPHA_0K00420	0.321127	4.324156	0.074263	1630.888097	319.111903	0.993811	2.928633	2259
Tpha|TPHA_0D02600	Tpha|TPHA_0K00400	0.023180	0.439560	0.052735	307.026127	100.973873	2.601911	0.378684	408
Tpha|TPHA_0D02620	Tpha|TPHA_0K00370	0.003155	0.177473	0.017778	317.775668	120.224332	4.600000	0.153008	438
Tpha|TPHA_0D02650	Tpha|TPHA_0K00340	0.876528	1.979515	0.442799	1614.643257	473.356743	1.752245	3.379736	2949
Tpha|TPHA_0D02660	Tpha|TPHA_0K00300	0.688329	2.165892	0.317804	1277.417617	357.582383	1.894884	3.034439	1884
Tpha|TPHA_0D02670	Tpha|TPHA_0K00270	0.773434	4.317807	0.179127	1498.578363	316.421637	1.364043	4.174047	2322
Tpha|TPHA_0D02700	Tpha|TPHA_0K00220	0.603795	2.437944	0.247666	856.913798	286.086202	1.892725	3.188615	1425
Tpha|TPHA_0D02750	Tpha|TPHA_0K00140	0.452739	4.108728	0.110190	1062.559762	239.440238	1.729286	3.375247	1593
Tpha|TPHA_0D02830	Tpha|TPHA_0C00450	0.671482	4.372930	0.153554	1633.446180	340.553820	1.322762	3.930164	2754
Tpha|TPHA_0D02840	Tpha|TPHA_0C00470	0.229954	4.327217	0.053141	1410.583307	320.416693	1.591304	2.965132	2064
Tpha|TPHA_0D02860	Tpha|TPHA_0E00770	0.847224	3.799302	0.222995	786.502852	158.497148	1.159669	4.027057	1095
Tpha|TPHA_0D02890	Tpha|TPHA_0F00340	0.543634	4.663737	0.116566	1871.142579	501.857421	1.325842	4.244941	2754
Tpha|TPHA_0D02910	Tpha|TPHA_0F02790	0.550340	4.048156	0.135948	1093.137179	220.862821	1.151676	3.414803	1737
Tpha|TPHA_0D02940	Tpha|TPHA_0D03985	0.337366	3.676090	0.091773	504.514917	134.485083	1.151547	3.120120	681
Tpha|TPHA_0D02960	Tpha|TPHA_0D03990	0.632946	4.634115	0.136584	2073.577631	482.422369	1.379540	4.164393	3576
Tpha|TPHA_0D03070	Tpha|TPHA_0D04040	0.332964	4.048493	0.082244	1156.038015	220.961985	1.222986	2.787544	1539
Tpha|TPHA_0D03080	Tpha|TPHA_0D04050	0.506559	3.907824	0.129627	926.826753	183.173247	1.302219	3.203516	1389
Tpha|TPHA_0D03200	Tpha|TPHA_0D04190	0.656624	4.480216	0.146561	1548.074017	392.925983	1.460904	4.291956	2247
Tpha|TPHA_0D03220	Tpha|TPHA_0P00880	0.757682	4.058803	0.186676	837.979464	224.020536	1.105225	4.362082	1542
Tpha|TPHA_0D03240	Tpha|TPHA_0J01250	0.562036	1.825759	0.307837	905.139174	246.860826	1.643116	2.498514	1248
Tpha|TPHA_0D03290	Tpha|TPHA_0A05090	0.394358	1.980760	0.199094	649.009361	175.990639	1.648727	2.198317	960
Tpha|TPHA_0D03310	Tpha|TPHA_0E03200	0.674015	2.565662	0.262706	1389.397194	368.602806	1.189800	3.211920	1959
Tpha|TPHA_0D03340	Tpha|TPHA_0A05760	0.245229	4.434143	0.055305	1691.485103	369.514897	1.121342	2.988769	2259
Tpha|TPHA_0D03370	Tpha|TPHA_0O01520	0.756870	4.099936	0.184605	1170.350257	236.649743	1.160538	3.957467	1593
Tpha|TPHA_0D03480	Tpha|TPHA_0E00890	0.745482	4.558524	0.163536	2053.830123	436.169877	1.682517	4.240222	3747
Tpha|TPHA_0D03600	Tpha|TPHA_0H01970	0.508614	4.801865	0.105920	3086.656289	603.343711	1.358057	3.631781	4215
Tpha|TPHA_0D03620	Tpha|TPHA_0H02010	0.009365	0.215379	0.043483	215.198864	84.801136	5.573459	0.202798	300
Tpha|TPHA_0D03700	Tpha|TPHA_0C01560	0.587169	4.639314	0.126564	2175.221859	485.778141	1.536473	3.980723	3561
Tpha|TPHA_0D03740	Tpha|TPHA_0H02190	0.342738	5.327832	0.064330	5455.448508	1216.551492	1.583865	3.755114	6981
Tpha|TPHA_0D03870	Tpha|TPHA_0B04320	0.771663	4.930925	0.156495	2865.364895	716.635105	1.654263	4.811366	3897
Tpha|TPHA_0D03940	Tpha|TPHA_0F02150	0.682261	4.184538	0.163043	1403.091738	264.908262	1.247182	3.715455	2319
Tpha|TPHA_0D04030	Tpha|TPHA_0I03120	0.880070	5.399892	0.162979	5674.761893	1339.238107	1.804761	5.229226	8487
