SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Cpur|CPUR_08857	Cpur|CPUR_06813	0.324956	1.662711	0.195437	1208.505047	360.494953	1.787999	1.896959	2628
Cpur|CPUR_03361	Cpur|CPUR_08849	0.129777	0.206615	0.628112	1338.812293	470.187707	2.764600	0.449246	2526
Cpur|CPUR_03364	Cpur|CPUR_02965	0.155871	0.605845	0.257279	590.418732	174.581268	2.426117	0.775681	3945
Cpur|CPUR_03365	Cpur|CPUR_08852	0.111444	0.950918	0.117196	419.330456	105.669544	3.069057	0.841229	3861
Cpur|CPUR_03369	Cpur|CPUR_00438	0.698453	2.275935	0.306886	1188.957303	419.042697	1.722450	3.328628	1719
Cpur|CPUR_03371	Cpur|CPUR_02817	0.577831	4.042427	0.142942	800.817973	219.182027	0.885792	3.966955	1122
Cpur|CPUR_03373	Cpur|CPUR_07986	0.775979	3.810278	0.203654	643.166424	160.833576	0.832419	4.148896	1290
Cpur|CPUR_03375	Cpur|CPUR_03619	0.787841	3.239376	0.243208	1076.197371	360.802629	1.490919	4.210120	1470
Cpur|CPUR_03376	Cpur|CPUR_00752	0.657019	2.755094	0.238474	791.269028	225.730972	1.442786	3.368109	2502
Cpur|CPUR_03380	Cpur|CPUR_01428	0.824671	3.213779	0.256605	1257.032061	392.967939	0.958418	4.180999	1881
Cpur|CPUR_03382	Cpur|CPUR_00096	0.447007	4.414712	0.101254	1244.935857	360.064143	1.483686	4.011353	1794
Cpur|CPUR_03384	Cpur|CPUR_03406	0.356934	0.648932	0.550033	992.331128	336.668872	2.591288	1.292713	1863
Cpur|CPUR_03385	Cpur|CPUR_03386	0.254323	0.356650	0.713089	555.385189	161.614811	1.648510	0.832165	1005
Cpur|CPUR_03389	Cpur|CPUR_03392	0.409503	0.634088	0.645814	970.496301	274.503699	1.501600	1.377062	1332
Cpur|CPUR_03390	Cpur|CPUR_03388	0.346655	0.466429	0.743211	673.092625	211.907375	2.384654	1.126004	1890
Cpur|CPUR_03393	Cpur|CPUR_07833	0.222428	3.185129	0.069833	1020.412586	320.587414	1.705700	2.792126	1377
Cpur|CPUR_03394	Cpur|CPUR_03433	0.292966	0.350512	0.835823	768.808360	269.191640	2.917195	0.923668	1461
Cpur|CPUR_03398	Cpur|CPUR_00505	0.762252	4.421570	0.172394	1250.628143	363.371857	1.118666	4.758305	1776
Cpur|CPUR_03399	Cpur|CPUR_07966	0.661515	3.235879	0.204431	471.209805	158.790195	1.860757	3.931134	2133
Cpur|CPUR_03403	Cpur|CPUR_03405	0.188576	0.364922	0.516757	851.977410	255.022590	1.972870	0.687603	1362
Cpur|CPUR_03409	Cpur|CPUR_01879	0.676863	4.313923	0.156902	1122.212662	314.787338	1.730273	4.420778	1593
Cpur|CPUR_03410	Cpur|CPUR_08191	0.469966	4.385057	0.107174	1243.894921	346.105079	1.098620	3.966564	1764
Cpur|CPUR_03412	Cpur|CPUR_00645	0.855517	2.723668	0.314105	1299.757792	416.242208	1.284685	3.925996	2019
Cpur|CPUR_03416	Cpur|CPUR_04959	1.059030	4.736584	0.223585	1822.951461	553.048539	0.931325	5.745104	3033
Cpur|CPUR_03419	Cpur|CPUR_04362	0.789497	4.666818	0.169173	1515.076763	503.923237	1.438356	5.271719	3252
Cpur|CPUR_03420	Cpur|CPUR_03421	0.159762	0.368569	0.433464	1934.522455	675.477545	1.914199	0.641406	2697
Cpur|CPUR_03423	Cpur|CPUR_05672	0.873543	4.423678	0.197470	1195.605547	364.394453	1.526852	5.108416	1671
Cpur|CPUR_03432	Cpur|CPUR_03807	0.855153	2.741255	0.311957	1163.647277	357.352723	1.220123	3.894855	2175
Cpur|CPUR_03435	Cpur|CPUR_03437	0.484387	0.724566	0.668520	356.747956	144.252044	2.797676	1.660624	564
Cpur|CPUR_03436	Cpur|CPUR_03438	0.082571	0.160780	0.513564	321.962654	107.037346	1.825742	0.306253	534
Cpur|CPUR_03439	Cpur|CPUR_03440	0.226633	0.534120	0.424311	261.808582	80.191418	1.856533	0.896196	342
Cpur|CPUR_03441	Cpur|CPUR_03689	0.279239	0.477079	0.585310	250.355080	79.644920	1.613336	0.980961	351
Cpur|CPUR_03443	Cpur|CPUR_08621	0.426231	2.443387	0.174443	914.085887	303.914113	1.564912	2.788649	6315
Cpur|CPUR_03454	Cpur|CPUR_03916	0.678462	4.927317	0.137694	2658.804598	713.195402	1.036887	4.731349	3888
Cpur|CPUR_03466	Cpur|CPUR_03482	0.074722	0.334552	0.223350	218.060178	63.939822	1.531533	0.400906	282
Cpur|CPUR_03467	Cpur|CPUR_03481	0.101017	0.154474	0.653944	169.338660	43.661340	1.157472	0.335925	222
Cpur|CPUR_03468	Cpur|CPUR_06318	0.128836	0.196334	0.656210	699.480552	260.519448	3.200005	0.441460	1698
Cpur|CPUR_03469	Cpur|CPUR_03488	0.487999	0.969627	0.503286	517.720141	178.279859	2.293619	1.834103	1419
Cpur|CPUR_03470	Cpur|CPUR_06633	0.565015	0.884324	0.638923	559.247039	181.752961	1.331273	1.930006	1134
Cpur|CPUR_03471	Cpur|CPUR_03485	0.110672	0.152936	0.723649	390.045128	146.954872	3.190772	0.366713	600
Cpur|CPUR_03472	Cpur|CPUR_03484	0.002634	0.000000	99.000000	380.277543	153.722457	4.600000	0.005628	534
Cpur|CPUR_03474	Cpur|CPUR_07087	0.278116	0.516362	0.538607	266.542496	99.457504	3.445142	1.028572	1002
Cpur|CPUR_03476	Cpur|CPUR_07908	0.668401	4.358989	0.153339	1030.718001	334.281999	1.452905	4.716625	1536
Cpur|CPUR_03479	Cpur|CPUR_07062	0.813823	4.525400	0.179834	1265.674468	417.325532	1.442463	5.202495	2016
Cpur|CPUR_03483	Cpur|CPUR_05653	0.232244	0.271063	0.856790	604.355771	214.644229	3.073401	0.727253	1656
Cpur|CPUR_03486	Cpur|CPUR_07078	0.413522	0.789578	0.523725	1154.267682	438.732318	2.289249	1.551277	2106
Cpur|CPUR_03487	Cpur|CPUR_03490	0.051446	0.097756	0.526266	927.795800	410.204200	6.030875	0.196931	1899
Cpur|CPUR_03489	Cpur|CPUR_03075	0.405354	0.730610	0.554816	1434.637293	518.362707	2.112246	1.475048	2100
Cpur|CPUR_03491	Cpur|CPUR_08626	0.155818	0.358466	0.434679	231.483910	77.516090	2.172343	0.619963	348
Cpur|CPUR_07200	Cpur|CPUR_01410	0.636180	2.229816	0.285306	1020.647158	239.352842	1.300134	2.816733	1353
Cpur|CPUR_07202	Cpur|CPUR_07209	0.402162	0.503769	0.798308	737.985889	252.014111	1.949757	1.284082	1119
Cpur|CPUR_07203	Cpur|CPUR_07601	0.010418	0.019943	0.522416	483.265227	152.734773	3.951292	0.038117	636
Cpur|CPUR_07204	Cpur|CPUR_07210	0.391616	0.577484	0.678143	718.968419	247.031581	1.889510	1.317443	1125
Cpur|CPUR_07205	Cpur|CPUR_07208	0.113068	0.158014	0.715556	840.573101	338.426899	3.917061	0.377909	1257
Cpur|CPUR_07206	Cpur|CPUR_00217	0.105302	0.056552	1.862039	255.344325	92.655675	3.451180	0.276967	348
Cpur|CPUR_07211	Cpur|CPUR_05789	0.410586	0.597620	0.687036	848.206085	294.793915	2.145366	1.376474	1284
Cpur|CPUR_07212	Cpur|CPUR_07219	0.073380	0.114530	0.640710	732.687247	305.312753	4.044013	0.256452	1317
Cpur|CPUR_07213	Cpur|CPUR_07214	0.190654	0.177393	1.074755	764.310358	312.689642	5.027804	0.560413	1170
