SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
SerlaS7_9_2|SerlaS7_9_2_1129553	SerlaS7_9_2|SerlaS7_9_2_1130674	0.579291	3.826084	0.151406	516.740798	164.259202	1.865921	4.087281	714
SerlaS7_9_2|SerlaS7_9_2_1050457	SerlaS7_9_2|SerlaS7_9_2_1094989	0.072626	0.084395	0.860551	268.560663	121.439337	5.276882	0.228873	1017
SerlaS7_9_2|SerlaS7_9_2_1050459	SerlaS7_9_2|SerlaS7_9_2_373547	0.907115	3.881594	0.233697	600.122239	176.877761	1.216330	4.752693	924
SerlaS7_9_2|SerlaS7_9_2_1041612	SerlaS7_9_2|SerlaS7_9_2_1196928	0.138375	1.962970	0.070493	624.428707	266.571293	4.186786	2.052784	1872
SerlaS7_9_2|SerlaS7_9_2_431569	SerlaS7_9_2|SerlaS7_9_2_1196929	0.168637	1.227039	0.137434	934.238854	370.761146	3.121453	1.408013	1938
SerlaS7_9_2|SerlaS7_9_2_1134069	SerlaS7_9_2|SerlaS7_9_2_346442	0.316363	1.988827	0.159070	173.007614	72.992386	4.564396	2.437835	471
SerlaS7_9_2|SerlaS7_9_2_1196938	SerlaS7_9_2|SerlaS7_9_2_404553	0.186549	0.161407	1.155769	155.522017	66.477983	4.463948	0.537061	432
SerlaS7_9_2|SerlaS7_9_2_1069233	SerlaS7_9_2|SerlaS7_9_2_1078878	0.661712	3.720080	0.177876	997.542311	346.457689	1.099489	4.350304	1509
SerlaS7_9_2|SerlaS7_9_2_1041619	SerlaS7_9_2|SerlaS7_9_2_1057969	0.633158	3.683825	0.171875	407.120766	135.879234	1.775080	4.189652	630
SerlaS7_9_2|SerlaS7_9_2_1079276	SerlaS7_9_2|SerlaS7_9_2_1107616	0.952992	4.445512	0.214372	1130.841413	375.158587	1.072320	5.469034	1707
SerlaS7_9_2|SerlaS7_9_2_431585	SerlaS7_9_2|SerlaS7_9_2_491363	0.887146	4.727251	0.187666	1565.791510	546.208490	1.297681	5.640838	2628
SerlaS7_9_2|SerlaS7_9_2_1196944	SerlaS7_9_2|SerlaS7_9_2_1167887	0.112446	2.568649	0.043776	796.968146	274.031854	1.842510	2.222709	1089
SerlaS7_9_2|SerlaS7_9_2_454360	SerlaS7_9_2|SerlaS7_9_2_1181354	0.599376	1.924906	0.311379	516.355159	164.644841	1.020903	2.759545	840
SerlaS7_9_2|SerlaS7_9_2_1050485	SerlaS7_9_2|SerlaS7_9_2_1083670	0.625934	2.759975	0.226790	496.820367	181.179633	1.314671	3.588620	1521
SerlaS7_9_2|SerlaS7_9_2_1209477	SerlaS7_9_2|SerlaS7_9_2_1184649	0.089612	0.129197	0.693611	927.977873	323.022127	2.224203	0.299500	2184
SerlaS7_9_2|SerlaS7_9_2_1079288	SerlaS7_9_2|SerlaS7_9_2_1061718	0.621859	3.940736	0.157803	630.609665	191.390335	1.274840	4.183829	1116
SerlaS7_9_2|SerlaS7_9_2_1079289	SerlaS7_9_2|SerlaS7_9_2_1209481	0.349123	4.581707	0.076199	1302.136949	449.863051	1.775182	4.307787	1797
SerlaS7_9_2|SerlaS7_9_2_1050514	SerlaS7_9_2|SerlaS7_9_2_1178559	0.407688	4.193443	0.097220	844.927591	268.072409	1.316341	3.958527	1146
SerlaS7_9_2|SerlaS7_9_2_1050525	SerlaS7_9_2|SerlaS7_9_2_1209487	0.398538	0.621442	0.641312	274.314044	109.685956	2.218915	1.386625	618
SerlaS7_9_2|SerlaS7_9_2_1050542	SerlaS7_9_2|SerlaS7_9_2_1059819	0.000000	0.000000	99.000000	202.221361	76.778639	4.600000	0.000000	279
