SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Totfu1|Totfu1_601573	Totfu1|Totfu1_689868	0.623119	3.707144	0.168086	486.829530	140.170470	1.150273	3.937726	669
Totfu1|Totfu1_667019	Totfu1|Totfu1_44271	0.893114	4.986807	0.179095	2443.929289	772.070711	1.220510	5.627682	3789
Totfu1|Totfu1_728573	Totfu1|Totfu1_633499	0.797692	1.235687	0.645545	324.430004	122.569996	2.242100	2.753379	486
Totfu1|Totfu1_1899	Totfu1|Totfu1_667002	0.609651	4.290652	0.142088	978.829860	305.170140	1.054136	4.453559	1656
Totfu1|Totfu1_1109	Totfu1|Totfu1_645797	0.631616	1.280970	0.493076	730.916143	262.083857	1.304371	2.409001	1143
Totfu1|Totfu1_623093	Totfu1|Totfu1_703712	0.692865	3.695644	0.187481	1182.981299	386.018701	1.246945	4.294902	1689
Totfu1|Totfu1_577623	Totfu1|Totfu1_555080	0.858322	2.056896	0.417290	1266.688956	422.311044	1.319896	3.474027	2040
Totfu1|Totfu1_577905	Totfu1|Totfu1_697729	0.912511	1.969437	0.463336	949.688528	331.311472	1.660288	3.557606	1545
Totfu1|Totfu1_666998	Totfu1|Totfu1_313551	0.441329	4.358742	0.101252	931.828123	334.171877	1.570433	4.426094	1764
Totfu1|Totfu1_654986	Totfu1|Totfu1_644689	0.487023	2.431969	0.200259	575.282159	231.717841	1.521761	3.136455	921
Totfu1|Totfu1_623070	Totfu1|Totfu1_714213	0.917092	2.348987	0.390420	681.382321	230.617679	1.265642	3.837528	1002
Totfu1|Totfu1_623141	Totfu1|Totfu1_626441	0.769783	4.599116	0.167376	1480.572607	460.427393	1.223901	5.034434	3831
Totfu1|Totfu1_691168	Totfu1|Totfu1_119228	0.561470	1.779076	0.315596	775.945341	259.054659	1.198933	2.598691	1170
Totfu1|Totfu1_644467	Totfu1|Totfu1_687959	0.680862	2.373520	0.286858	1373.635649	474.364351	1.591845	3.346055	2031
Totfu1|Totfu1_691176	Totfu1|Totfu1_645819	0.912041	3.192613	0.285672	1981.590748	601.409252	1.067722	4.329103	3282
Totfu1|Totfu1_667030	Totfu1|Totfu1_640958	0.415665	4.488936	0.092598	1186.479130	397.520870	1.493657	4.313681	1758
Totfu1|Totfu1_578072	Totfu1|Totfu1_672556	0.675220	4.062810	0.166195	908.779620	225.220380	1.160073	4.044057	1242
Totfu1|Totfu1_655037	Totfu1|Totfu1_687757	0.598010	4.473236	0.133686	1365.713758	389.286242	0.981198	4.372786	2100
Totfu1|Totfu1_577536	Totfu1|Totfu1_592487	0.412453	4.773069	0.086413	1750.382448	580.617552	1.487875	4.495853	2445
Totfu1|Totfu1_2813	Totfu1|Totfu1_581232	0.766922	3.000370	0.255609	1194.873877	377.126123	1.685339	3.908192	2160
Totfu1|Totfu1_2790	Totfu1|Totfu1_730693	0.409238	3.496214	0.117052	401.192742	105.807258	1.305367	3.160404	657
Totfu1|Totfu1_667040	Totfu1|Totfu1_661413	0.820562	2.996374	0.273852	1545.739153	515.260847	1.075306	4.093578	2286
Totfu1|Totfu1_578197	Totfu1|Totfu1_695824	0.528853	1.706654	0.309877	1183.780406	388.219594	1.454166	2.459165	1872
Totfu1|Totfu1_704324	Totfu1|Totfu1_444710	0.533713	2.071753	0.257614	835.001624	277.998376	1.658639	2.753626	1194
Totfu1|Totfu1_623213	Totfu1|Totfu1_672061	0.604666	3.072039	0.196829	959.782690	300.217310	1.539547	3.577683	1395
Totfu1|Totfu1_623216	Totfu1|Totfu1_664181	0.606629	1.818000	0.333679	1241.141417	399.858583	1.530061	2.705402	1881
Totfu1|Totfu1_644498	Totfu1|Totfu1_463755	0.619638	1.734943	0.357152	507.686661	152.313339	1.287348	2.631077	681
Totfu1|Totfu1_644501	Totfu1|Totfu1_675042	0.906235	4.173630	0.217134	947.916482	261.083518	1.145735	4.835487	1416
Totfu1|Totfu1_623235	Totfu1|Totfu1_650788	0.487896	1.690802	0.288559	693.455709	227.544291	1.381042	2.355267	939
Totfu1|Totfu1_691215	Totfu1|Totfu1_691214	0.607898	1.963159	0.309653	672.765766	242.234234	1.854969	2.900057	1698
Totfu1|Totfu1_655089	Totfu1|Totfu1_4542	0.562116	3.758668	0.149552	545.861689	150.138311	1.791571	3.754989	717
