SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Basme2finSC|Basme2finSC_142937	Basme2finSC|Basme2finSC_376362	0.412664	1.726898	0.238963	866.491792	339.508208	1.927013	2.347926	23292
Basme2finSC|Basme2finSC_215767	Basme2finSC|Basme2finSC_224658	0.114811	4.411030	0.026028	1324.699193	358.300807	1.269306	3.088353	3351
Basme2finSC|Basme2finSC_310563	Basme2finSC|Basme2finSC_297911	0.148860	0.331922	0.448478	591.411976	347.588024	2.542353	0.649872	1233
Basme2finSC|Basme2finSC_12589	Basme2finSC|Basme2finSC_365209	0.006184	0.000000	99.000000	324.803609	140.196391	4.600000	0.012959	942
Basme2finSC|Basme2finSC_315575	Basme2finSC|Basme2finSC_340149	0.131248	1.391775	0.094303	648.260618	284.739382	3.178232	1.547833	936
Basme2finSC|Basme2finSC_22502	Basme2finSC|Basme2finSC_319292	0.164175	2.129880	0.077082	718.838624	265.161376	2.666550	2.081639	1389
Basme2finSC|Basme2finSC_310463	Basme2finSC|Basme2finSC_352665	0.110697	0.041280	2.681624	380.088755	486.911245	0.382042	0.215136	2022
Basme2finSC|Basme2finSC_272048	Basme2finSC|Basme2finSC_410155	0.873485	4.489161	0.194576	1312.359666	397.640334	1.265925	5.142803	2367
Basme2finSC|Basme2finSC_145225	Basme2finSC|Basme2finSC_336156	0.013874	0.030408	0.456241	437.658961	201.341039	9.710723	0.057250	1050
Basme2finSC|Basme2finSC_311842	Basme2finSC|Basme2finSC_302579	0.390101	1.495365	0.260874	1203.702873	458.297127	2.658315	2.084635	1797
Basme2finSC|Basme2finSC_370695	Basme2finSC|Basme2finSC_405636	0.006012	0.350972	0.017129	334.022416	79.977584	2.173746	0.217956	918
Basme2finSC|Basme2finSC_98243	Basme2finSC|Basme2finSC_313350	0.243121	1.904110	0.127682	1093.131329	376.868671	1.720879	2.006863	1767
Basme2finSC|Basme2finSC_269888	Basme2finSC|Basme2finSC_297096	0.065380	0.549986	0.118876	1403.724599	588.275401	4.223220	0.625480	2052
Basme2finSC|Basme2finSC_310860	Basme2finSC|Basme2finSC_322572	0.001708	0.000000	99.000000	586.030935	232.969065	4.600000	0.003667	1068
Basme2finSC|Basme2finSC_249954	Basme2finSC|Basme2finSC_289347	0.000000	0.000000	99.000000	1095.265171	422.734829	4.600000	0.000000	1551
Basme2finSC|Basme2finSC_311562	Basme2finSC|Basme2finSC_320897	0.374194	3.218078	0.116279	564.405174	197.594826	1.760234	3.334931	870
Basme2finSC|Basme2finSC_411931	Basme2finSC|Basme2finSC_202650	0.104793	2.752488	0.038072	146.748728	39.251272	0.721801	1.990595	645
Basme2finSC|Basme2finSC_196183	Basme2finSC|Basme2finSC_74210	0.202900	1.258367	0.161240	314.779600	150.220400	8.283320	1.631620	1377
Basme2finSC|Basme2finSC_256949	Basme2finSC|Basme2finSC_323612	0.529785	2.433895	0.217670	535.081081	151.918919	1.198440	2.852545	954
Basme2finSC|Basme2finSC_65632	Basme2finSC|Basme2finSC_308155	0.049553	0.611281	0.081065	1205.530774	489.469226	4.159178	0.635295	3408
Basme2finSC|Basme2finSC_78013	Basme2finSC|Basme2finSC_365277	0.000000	0.000000	99.000000	475.549290	148.450710	4.600000	0.000000	1455
Basme2finSC|Basme2finSC_338398	Basme2finSC|Basme2finSC_308779	0.063151	0.099912	0.632065	1378.080843	610.919157	3.191394	0.223325	13569
Basme2finSC|Basme2finSC_371557	Basme2finSC|Basme2finSC_289246	0.238203	1.899674	0.125391	923.736930	315.263070	1.726711	1.982891	1542
Basme2finSC|Basme2finSC_14784	Basme2finSC|Basme2finSC_253685	0.000000	0.000000	99.000000	569.184211	225.815789	4.600000	0.000000	1419
Basme2finSC|Basme2finSC_413863	Basme2finSC|Basme2finSC_252958	0.000000	0.037521	0.000010	904.926996	301.073004	1.170526	0.028101	1479
Basme2finSC|Basme2finSC_38810	Basme2finSC|Basme2finSC_364597	0.135955	3.195003	0.042552	271.189695	70.810305	0.741492	2.307972	1110
Basme2finSC|Basme2finSC_12821	Basme2finSC|Basme2finSC_318756	0.334149	0.504230	0.662692	330.097177	98.902823	0.886992	1.120081	855
Basme2finSC|Basme2finSC_318926	Basme2finSC|Basme2finSC_321172	0.109846	2.157329	0.050917	1066.888329	349.111671	1.997231	1.843944	1968
Basme2finSC|Basme2finSC_75289	Basme2finSC|Basme2finSC_312737	0.003864	0.010119	0.381800	1297.516478	298.483522	1.741649	0.015101	1878
Basme2finSC|Basme2finSC_12516	Basme2finSC|Basme2finSC_202370	0.000000	0.045245	0.000010	684.798077	182.201923	4.600000	0.028525	1596
Basme2finSC|Basme2finSC_96616	Basme2finSC|Basme2finSC_318809	0.051406	0.126919	0.405029	458.407377	96.592623	0.460933	0.193645	1098
Basme2finSC|Basme2finSC_64301	Basme2finSC|Basme2finSC_314728	0.002321	0.012651	0.183449	431.566952	159.433048	4.600000	0.015322	834
Basme2finSC|Basme2finSC_25386	Basme2finSC|Basme2finSC_408495	0.033383	99.000000	0.000337	199.306977	28.693023	0.430490	37.463984	1326
Basme2finSC|Basme2finSC_317749	Basme2finSC|Basme2finSC_305073	0.866883	3.893847	0.222629	597.208777	179.791223	1.345997	4.701890	972
Basme2finSC|Basme2finSC_320915	Basme2finSC|Basme2finSC_363932	0.042187	1.615975	0.026106	1042.326889	238.673111	0.984700	1.006235	1308
Basme2finSC|Basme2finSC_273275	Basme2finSC|Basme2finSC_215826	0.000000	0.004521	0.000010	2625.277309	665.722691	0.676896	0.002744	3849
Basme2finSC|Basme2finSC_320209	Basme2finSC|Basme2finSC_273326	0.000000	0.033401	0.000010	577.776926	184.223074	0.963479	0.024225	930
Basme2finSC|Basme2finSC_21937	Basme2finSC|Basme2finSC_315879	0.374237	0.860781	0.434765	781.812483	313.187517	3.279313	1.540190	1119
Basme2finSC|Basme2finSC_390955	Basme2finSC|Basme2finSC_312130	0.004430	0.104925	0.042221	226.400789	61.599211	0.536919	0.077773	621
Basme2finSC|Basme2finSC_292350	Basme2finSC|Basme2finSC_348545	0.137082	2.095900	0.065405	1957.463281	637.536719	1.876818	1.854966	2595
Basme2finSC|Basme2finSC_13825	Basme2finSC|Basme2finSC_275973	0.266525	1.810162	0.147238	219.214370	80.785630	2.166364	2.046612	705
Basme2finSC|Basme2finSC_412249	Basme2finSC|Basme2finSC_214069	0.051440	0.171181	0.300503	635.100589	225.899411	2.924669	0.248569	1053
Basme2finSC|Basme2finSC_374134	Basme2finSC|Basme2finSC_352796	0.515194	2.322584	0.221819	10104.116361	3554.883639	1.684172	2.956752	25020
Basme2finSC|Basme2finSC_84691	Basme2finSC|Basme2finSC_286867	0.499546	2.191522	0.227945	304.766465	97.233535	2.136321	2.726374	1311
Basme2finSC|Basme2finSC_246499	Basme2finSC|Basme2finSC_231970	0.000000	0.002805	0.000010	1124.889058	357.110942	4.600000	0.002028	2124
Basme2finSC|Basme2finSC_158073	Basme2finSC|Basme2finSC_352941	0.017245	0.358152	0.048149	588.248586	209.751414	6.202741	0.320553	1938
