SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Lmac|LEMA_P110280.1	Lmac|LEMA_P045020.1	0.581318	3.498125	0.166180	316.922836	106.077164	1.189641	3.938328	1464
Lmac|LEMA_P110310.1	Lmac|LEMA_P084120.1	0.929455	2.029610	0.457948	626.592861	192.407139	1.545446	3.563741	936
Lmac|LEMA_P110340.1	Lmac|LEMA_P016420.1	0.866256	4.022100	0.215374	742.164973	280.835027	2.535095	5.197804	2433
Lmac|LEMA_P110360.1	Lmac|LEMA_P071360.1	0.559458	1.523405	0.367242	844.522546	292.477454	1.957664	2.422260	1254
Lmac|LEMA_P110370.1	Lmac|LEMA_P075680.1	0.718611	4.807990	0.149462	1869.709231	608.290769	1.658824	5.167373	3198
Lmac|LEMA_P110400.1	Lmac|LEMA_P004400.1	0.865335	4.129541	0.209548	836.822102	246.177898	1.652301	4.821976	1560
Lmac|LEMA_P110420.1	Lmac|LEMA_P001820.1	0.751443	2.281347	0.329385	1220.902070	351.097930	1.294252	3.279416	1713
Lmac|LEMA_P110560.1	Lmac|LEMA_P012400.1	0.600223	4.511252	0.133050	1432.473046	409.526954	1.285282	4.409256	1866
Lmac|LEMA_P110580.1	Lmac|LEMA_P002430.1	0.657663	3.977645	0.165340	671.955419	201.044581	1.469930	4.266682	1248
Lmac|LEMA_P110610.1	Lmac|LEMA_P006920.1	0.522876	2.382763	0.219441	436.849745	118.150255	1.383319	2.756445	684
Lmac|LEMA_P110620.1	Lmac|LEMA_P043230.1	0.876022	4.554543	0.192340	1387.139118	433.860882	1.275545	5.257336	2457
Lmac|LEMA_P110710.1	Lmac|LEMA_P016590.1	0.556392	3.916445	0.142065	897.709113	185.290887	1.354006	3.393794	1764
Lmac|LEMA_P110730.1	Lmac|LEMA_P123220.1	0.525473	4.651824	0.112961	1537.050851	493.949149	1.562224	4.587065	2322
Lmac|LEMA_P110770.1	Lmac|LEMA_P058140.1	0.678936	4.379081	0.155041	1024.641671	343.358329	1.450403	4.822938	1488
Lmac|LEMA_P110800.1	Lmac|LEMA_P082330.1	0.931629	3.439336	0.270875	1482.901102	500.098898	1.282116	4.692166	2469
Lmac|LEMA_P110970.1	Lmac|LEMA_P011770.1	0.258112	2.564583	0.100645	342.194983	146.805017	1.516645	2.851647	3867
Lmac|LEMA_P111180.1	Lmac|LEMA_P068780.1	0.742682	4.230367	0.175560	951.399659	281.600341	1.433025	4.617665	1434
Lmac|LEMA_P111250.1	Lmac|LEMA_P111270.1	0.873076	2.044144	0.427111	793.138488	265.861512	1.875777	3.501216	1980
Lmac|LEMA_P111290.1	Lmac|LEMA_P002600.1	0.450009	4.137153	0.108773	771.310827	248.689173	1.041121	4.046946	1041
Lmac|LEMA_P111320.1	Lmac|LEMA_P050160.1	0.533404	4.154310	0.128398	930.556205	254.443795	1.394890	3.932660	1506
Lmac|LEMA_P111330.1	Lmac|LEMA_P116880.1	0.513862	99.000000	0.005191	379.672137	67.327863	1.419660	46.044009	939
Lmac|LEMA_P111360.1	Lmac|LEMA_P005660.1	0.268085	2.774306	0.096632	1526.297113	342.702887	1.256549	2.182891	2094
Lmac|LEMA_P111380.1	Lmac|LEMA_P066230.1	0.663749	2.277127	0.291486	558.253859	149.746141	1.210540	3.014964	786
Lmac|LEMA_P111510.1	Lmac|LEMA_P010220.1	0.755423	2.038068	0.370656	984.975172	320.024828	1.049796	3.209897	1767
Lmac|LEMA_P111520.1	Lmac|LEMA_P061090.1	0.714453	4.162514	0.171640	930.757755	257.242245	1.601964	4.383225	1428
Lmac|LEMA_P111560.1	Lmac|LEMA_P021380.1	0.800573	4.014657	0.199413	640.785091	211.214909	1.006747	4.792081	2151
Lmac|LEMA_P111570.1	Lmac|LEMA_P076880.1	0.920973	2.168521	0.424701	874.192105	268.807895	1.304711	3.643105	1281
Lmac|LEMA_P111600.1	Lmac|LEMA_P064020.1	0.699877	3.420699	0.204601	1574.461234	540.538766	1.585923	4.185745	3618
Lmac|LEMA_P111610.1	Lmac|LEMA_P012300.1	0.941097	3.172467	0.296645	1184.298166	414.701834	1.428122	4.559413	1938
Lmac|LEMA_P111620.1	Lmac|LEMA_P015940.1	0.561786	4.438439	0.126573	1188.362525	371.637475	1.178185	4.455952	1668
Lmac|LEMA_P111790.1	Lmac|LEMA_P004030.1	0.567000	1.942138	0.291946	1300.021037	394.978963	2.243229	2.662329	2478
Lmac|LEMA_P111820.1	Lmac|LEMA_P077220.1	0.895032	2.112057	0.423772	903.178409	284.821591	1.310792	3.560436	1356
Lmac|LEMA_P111860.1	Lmac|LEMA_P003720.1	0.516685	2.110134	0.244859	1286.666835	519.333165	2.194253	2.924691	1956
Lmac|LEMA_P111910.1	Lmac|LEMA_P068170.1	0.816810	4.184265	0.195210	815.188119	264.811881	1.117778	4.927491	1293
Lmac|LEMA_P111920.1	Lmac|LEMA_P049360.1	0.765993	1.783271	0.429544	1160.373400	399.626600	1.533825	3.079770	1767
Lmac|LEMA_P111970.1	Lmac|LEMA_P078550.1	0.475500	4.720793	0.100725	1807.474370	541.525630	1.105438	4.362561	2496
Lmac|LEMA_P111990.1	Lmac|LEMA_P066830.1	0.775542	1.831377	0.423475	1195.677887	421.322113	1.671932	3.151943	2409
Lmac|LEMA_P112020.1	Lmac|LEMA_P041050.1	0.653682	3.833926	0.170499	749.014297	165.985703	1.640877	3.691784	1083
Lmac|LEMA_P112350.1	Lmac|LEMA_P020730.1	0.729282	4.644291	0.157028	1877.987240	489.012760	0.908118	4.614323	2853
Lmac|LEMA_P112360.1	Lmac|LEMA_P032160.1	0.510888	2.774613	0.184130	799.081028	259.918972	1.404557	3.199478	1527
Lmac|LEMA_P112420.1	Lmac|LEMA_P043700.1	0.592104	3.188281	0.185713	1189.809202	391.190798	1.594205	3.703447	1671
Lmac|LEMA_P112540.1	Lmac|LEMA_P118510.1	1.457449	1.532475	0.951042	3703.260820	1774.739180	1.412228	4.445267	7182
Lmac|LEMA_P112550.1	Lmac|LEMA_P067920.1	0.741345	4.764386	0.155601	2018.065637	573.934363	1.228096	4.896445	2781
Lmac|LEMA_P112600.1	Lmac|LEMA_P033340.1	0.884299	1.969381	0.449024	976.898729	316.101271	1.724592	3.448712	1539
Lmac|LEMA_P112650.1	Lmac|LEMA_P035610.1	0.661419	4.431486	0.149254	1470.791776	368.208224	1.214658	4.248808	2112
Lmac|LEMA_P112740.1	Lmac|LEMA_P078370.1	0.699631	2.260895	0.309449	962.588768	366.411232	1.565959	3.390235	1755
Lmac|LEMA_P112800.1	Lmac|LEMA_P103980.1	0.734319	3.686409	0.199196	787.651854	136.348146	0.826437	3.509815	1281
Lmac|LEMA_P112820.1	Lmac|LEMA_P084210.1	0.768274	5.096804	0.150736	2915.971051	894.028949	1.248248	5.351933	6975
Lmac|LEMA_P112960.1	Lmac|LEMA_P028880.1	0.686635	3.583190	0.191627	799.095405	265.904595	1.368949	4.229503	1368
Lmac|LEMA_P113010.1	Lmac|LEMA_P069100.1	0.586709	4.570559	0.128367	1377.774409	443.225591	1.285375	4.669097	1860
Lmac|LEMA_P113020.1	Lmac|LEMA_P015260.1	0.798367	2.947956	0.270820	1073.059403	375.940597	1.444536	4.068222	2850
Lmac|LEMA_P089390.1	Lmac|LEMA_P071200.1	0.831267	4.159720	0.199837	778.714318	256.285682	1.847964	4.966366	1251
Lmac|LEMA_P089400.1	Lmac|LEMA_P002540.1	0.567991	1.937213	0.293200	1293.915934	479.084066	1.108740	2.813910	2136
Lmac|LEMA_P089460.1	Lmac|LEMA_P056270.1	0.743818	2.127608	0.349603	903.166069	275.833931	1.095342	3.202692	1368
Lmac|LEMA_P089510.1	Lmac|LEMA_P018940.1	0.651523	4.250865	0.153268	1048.597109	289.402891	1.354287	4.290129	1461
