SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Lenfl1|Lenfl1_6708	Lenfl1|Lenfl1_305562	0.423221	3.880445	0.109065	609.392997	176.607003	1.192483	3.600083	1032
Lenfl1|Lenfl1_398334	Lenfl1|Lenfl1_332290	0.724944	4.309372	0.168225	1247.117024	312.882976	1.304930	4.331576	1644
Lenfl1|Lenfl1_425808	Lenfl1|Lenfl1_415209	0.596732	4.070514	0.146599	864.454055	227.545945	1.692113	3.961749	1296
Lenfl1|Lenfl1_6566	Lenfl1|Lenfl1_286350	0.769212	3.569532	0.215494	429.326838	116.673162	1.350978	4.102813	1122
Lenfl1|Lenfl1_398324	Lenfl1|Lenfl1_359513	0.628088	4.560724	0.137717	1725.548658	437.451342	1.352231	4.270306	2940
Lenfl1|Lenfl1_411628	Lenfl1|Lenfl1_482609	0.008158	0.022007	0.370700	246.781783	92.218217	4.600000	0.035777	2418
Lenfl1|Lenfl1_411624	Lenfl1|Lenfl1_442355	0.759314	4.015799	0.189082	727.463169	211.536831	1.400519	4.478794	1017
Lenfl1|Lenfl1_353999	Lenfl1|Lenfl1_304855	0.854243	4.931201	0.173232	2460.101031	716.898969	1.156248	5.322660	3789
Lenfl1|Lenfl1_473602	Lenfl1|Lenfl1_286707	0.838345	4.696822	0.178492	1776.508396	524.491604	1.271834	5.153548	3021
Lenfl1|Lenfl1_438253	Lenfl1|Lenfl1_479168	0.518359	4.708335	0.110094	1678.395274	532.604726	1.378774	4.583029	2469
Lenfl1|Lenfl1_353987	Lenfl1|Lenfl1_422167	0.601731	4.087192	0.147223	792.298142	266.701858	1.475245	4.438560	1143
Lenfl1|Lenfl1_325593	Lenfl1|Lenfl1_285913	0.548341	2.490432	0.220179	978.860884	302.139116	1.583956	3.019220	1665
Lenfl1|Lenfl1_353980	Lenfl1|Lenfl1_293044	0.671744	1.548429	0.433823	628.239874	169.760126	2.093970	2.574729	852
Lenfl1|Lenfl1_411612	Lenfl1|Lenfl1_335580	0.701248	2.423828	0.289314	700.492887	229.507113	1.522577	3.379048	1092
Lenfl1|Lenfl1_411610	Lenfl1|Lenfl1_303708	0.692954	2.474276	0.280063	1427.016178	444.983822	1.281439	3.349149	2337
Lenfl1|Lenfl1_473592	Lenfl1|Lenfl1_46690	0.677896	1.425824	0.475442	1208.230799	504.769201	11.192932	2.694864	2118
Lenfl1|Lenfl1_411598	Lenfl1|Lenfl1_436892	0.653892	4.293173	0.152310	1337.802561	306.197439	1.084411	3.995140	1812
Lenfl1|Lenfl1_325550	Lenfl1|Lenfl1_96097	0.495584	3.830106	0.129392	578.857559	165.142441	1.244160	3.707200	813
Lenfl1|Lenfl1_286094	Lenfl1|Lenfl1_4852	0.689595	4.081388	0.168961	960.130811	230.869189	1.260153	4.041230	1350
Lenfl1|Lenfl1_286858	Lenfl1|Lenfl1_424642	0.642175	2.894580	0.221854	920.833295	324.166705	1.239791	3.685934	1452
Lenfl1|Lenfl1_411583	Lenfl1|Lenfl1_310089	0.376450	1.187768	0.316939	603.001248	170.998752	1.165263	1.667080	849
Lenfl1|Lenfl1_448564	Lenfl1|Lenfl1_345984	0.537339	1.934302	0.277795	1044.787074	404.212926	2.019419	2.781107	1656
Lenfl1|Lenfl1_411576	Lenfl1|Lenfl1_381636	0.447411	1.161999	0.385036	422.879100	120.120900	1.932944	1.816470	600
Lenfl1|Lenfl1_286143	Lenfl1|Lenfl1_343329	0.717433	4.053363	0.176997	776.598437	222.401563	1.329042	4.380275	1617
Lenfl1|Lenfl1_353885	Lenfl1|Lenfl1_371866	0.443919	4.558000	0.097393	1436.134677	435.865323	1.172302	4.205452	1938
Lenfl1|Lenfl1_473562	Lenfl1|Lenfl1_363316	0.785322	1.859690	0.422286	508.769327	163.230673	1.631064	3.138866	678
Lenfl1|Lenfl1_411571	Lenfl1|Lenfl1_422879	0.818566	4.419093	0.185234	1230.826040	362.173960	0.998734	4.911473	1833
Lenfl1|Lenfl1_411569	Lenfl1|Lenfl1_444823	0.351176	4.007411	0.087632	849.815972	209.184028	1.730536	3.220175	1335
Lenfl1|Lenfl1_381694	Lenfl1|Lenfl1_370679	0.574439	2.176583	0.263918	901.652747	265.347253	1.925399	2.816181	1236
Lenfl1|Lenfl1_482552	Lenfl1|Lenfl1_419310	0.617773	4.091634	0.150984	785.955377	234.044623	1.150710	4.244608	1137
Lenfl1|Lenfl1_284877	Lenfl1|Lenfl1_388389	0.434860	3.772439	0.115273	537.079359	152.920641	1.392277	3.523643	732
Lenfl1|Lenfl1_353843	Lenfl1|Lenfl1_481052	0.383109	4.419868	0.086679	1317.451806	362.548194	1.387486	3.762755	1734
Lenfl1|Lenfl1_284844	Lenfl1|Lenfl1_302084	0.306798	1.488081	0.206170	165.961142	56.038858	2.068127	1.814959	264
Lenfl1|Lenfl1_398245	Lenfl1|Lenfl1_290350	0.380633	3.408805	0.111662	421.832660	94.167340	1.141985	2.799776	759
Lenfl1|Lenfl1_438191	Lenfl1|Lenfl1_355315	0.557916	2.202783	0.253278	1305.088596	383.911404	1.341581	2.795388	1758
Lenfl1|Lenfl1_482540	Lenfl1|Lenfl1_376696	0.504580	2.268810	0.222399	883.130234	223.869766	1.627015	2.584086	1224
Lenfl1|Lenfl1_448514	Lenfl1|Lenfl1_351697	0.828617	2.637720	0.314141	966.729513	335.270487	1.249009	3.883406	1509
Lenfl1|Lenfl1_473536	Lenfl1|Lenfl1_377517	0.729407	4.771319	0.152873	645.486153	236.513847	1.587900	5.439814	951
Lenfl1|Lenfl1_285672	Lenfl1|Lenfl1_475410	0.594304	2.094928	0.283687	691.481034	184.518966	1.159737	2.731179	2142
Lenfl1|Lenfl1_438182	Lenfl1|Lenfl1_296326	0.361442	2.097393	0.172329	1229.911013	345.088987	1.432642	2.225388	1830
Lenfl1|Lenfl1_411533	Lenfl1|Lenfl1_424644	0.262516	3.209010	0.081806	925.951938	292.048062	1.473903	2.907050	1302
Lenfl1|Lenfl1_4927	Lenfl1|Lenfl1_424144	0.401421	3.492547	0.114936	467.708900	105.291100	1.402999	2.908284	603
Lenfl1|Lenfl1_411523	Lenfl1|Lenfl1_341417	0.682951	2.642748	0.258425	570.252512	164.747488	1.370043	3.366696	1836
Lenfl1|Lenfl1_381642	Lenfl1|Lenfl1_288749	0.622026	3.818031	0.162918	584.495214	162.504786	0.973579	3.951884	795
Lenfl1|Lenfl1_438169	Lenfl1|Lenfl1_424154	0.493262	4.398129	0.112153	1129.809459	352.190541	1.304475	4.263708	1518
Lenfl1|Lenfl1_353759	Lenfl1|Lenfl1_368110	0.755697	4.566605	0.165483	1473.104939	440.895061	1.507202	4.900650	3342
Lenfl1|Lenfl1_285601	Lenfl1|Lenfl1_323598	0.457593	4.064137	0.112593	935.380744	225.619256	1.273183	3.475377	1242
Lenfl1|Lenfl1_381631	Lenfl1|Lenfl1_195818	0.797416	3.030182	0.263158	1234.266491	382.733509	1.186415	3.977692	1719
Lenfl1|Lenfl1_381625	Lenfl1|Lenfl1_345925	0.596702	2.274101	0.262390	1462.582117	376.417883	1.072167	2.820127	2091
